shdL_X,shdL_Y,shdL_Z,shdR_X,shdR_Y,shdR_Z,wstL_X,wstL_Y,wstL_Z,wstR_X,wstR_Y,wstR_Z,elbL_X,elbL_Y,elbL_Z,elbR_X,elbR_Y,elbR_Z,t3L_X,t3L_Y,t3L_Z,t3R_X,t3R_Y,t3R_Z,t4L_X,t4L_Y,t4L_Z,t4R_X,t4R_Y,t4R_Z,t5L_X,t5L_Y,t5L_Z,t5R_X,t5R_Y,t5R_Z,mcp3L_X,mcp3L_Y,mcp3L_Z,mcp3R_X,mcp3R_Y,mcp3R_Z,mcp4L_X,mcp4L_Y,mcp4L_Z,mcp4R_X,mcp4R_Y,mcp4R_Z,mcp5L_X,mcp5L_Y,mcp5L_Z,mcp5R_X,mcp5R_Y,mcp5R_Z,ankL_X,ankL_Y,ankL_Z,ankR_X,ankR_Y,ankR_Z,lmb_X,lmb_Y,lmb_Z,str_X,str_Y,str_Z
155.3654571,104.4221741,265.2137674,NaN,NaN,NaN,NaN,NaN,NaN,118.2168307,96.00720031,234.6273506,NaN,NaN,NaN,NaN,NaN,NaN,219.3901824,102.5913516,188.9848086,NaN,NaN,NaN,209.4858432,118.1008228,218.8672231,NaN,NaN,NaN,200.2838881,130.327234,257.9716466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,195.9742631,99.96346519,226.5816121,114.4608961,126.1672062,216.4504315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
155.7297479,103.0589937,263.071466,NaN,NaN,NaN,NaN,NaN,NaN,118.6814854,92.89229056,234.6655118,NaN,NaN,NaN,NaN,NaN,NaN,216.033006,98.93754208,187.5237503,NaN,NaN,NaN,207.2485295,115.0459064,217.6634298,NaN,NaN,NaN,198.3633451,128.2649999,255.8675804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,194.7792038,97.08171626,226.5569953,114.7927075,123.0871597,216.35468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
155.6693329,101.9398311,261.2408816,NaN,NaN,NaN,NaN,NaN,NaN,119.2598551,89.78710839,234.6307973,NaN,NaN,NaN,NaN,NaN,NaN,214.770832,97.66228284,190.2403967,NaN,NaN,NaN,204.9868919,112.0634476,216.9130951,NaN,NaN,NaN,196.7674811,126.0916481,254.7295525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,192.8834426,93.20408771,226.0878759,115.2504708,119.5416067,216.5136308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
155.849357,101.5754991,259.5320244,NaN,NaN,NaN,166.5603419,70.50651783,242.593971,119.7819953,86.27778004,234.2239813,NaN,NaN,NaN,NaN,NaN,NaN,215.4212512,92.49460848,191.2672984,NaN,NaN,NaN,203.1446265,109.617251,215.4394669,NaN,NaN,NaN,195.6179394,123.5594525,253.2728573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,192.6147882,90.07503695,226.4420957,114.7621957,116.3914161,216.7389292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
155.8391182,100.4222949,257.7165963,NaN,NaN,NaN,164.2799339,68.50467324,241.9627268,120.5375237,83.02523048,233.9571636,NaN,NaN,NaN,NaN,NaN,NaN,217.3921325,87.37766471,193.457575,NaN,NaN,NaN,201.7563286,105.1045287,214.8179063,NaN,NaN,NaN,194.9287391,120.9196498,252.3221099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,192.413824,86.63875851,226.721673,114.0365895,113.0608527,217.088488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
156.7947552,100.2005223,257.1284895,NaN,NaN,NaN,163.2754894,66.7548902,242.3218569,121.4621575,79.91187723,233.7810435,NaN,NaN,NaN,NaN,NaN,NaN,220.0927883,81.93036416,196.6028947,101.463691,124.3887077,179.4172617,201.3345381,100.998586,214.6597433,NaN,NaN,NaN,194.0167973,118.3289911,251.4154604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,192.1810436,83.38833963,227.5677139,112.5347602,110.2685729,218.1328893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
156.5477341,99.09118943,255.0968198,NaN,NaN,NaN,161.2263163,64.93992397,241.7098891,122.6150706,77.05704946,233.366075,NaN,NaN,NaN,NaN,NaN,NaN,223.4485335,75.98201188,200.9580822,94.14025157,122.0799005,182.2787283,201.5442701,96.61431122,215.4177103,NaN,NaN,NaN,193.0661652,115.6655814,250.3982962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,192.047008,79.77802853,228.811903,110.9444929,106.8404931,218.627142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
156.3095723,97.36968924,252.6465685,NaN,NaN,NaN,159.3605147,63.32792037,240.9281669,123.8339201,74.49834756,232.978405,NaN,NaN,NaN,NaN,NaN,NaN,226.5949485,69.6153157,206.0228098,86.68965247,118.9306802,186.2635341,202.457797,91.84680637,216.4515493,NaN,NaN,NaN,192.3811049,113.1443008,249.7399304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,192.0703471,76.11024435,230.1338323,109.1098379,104.0896789,220.1574504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
156.7475702,96.25655448,250.9781196,NaN,NaN,NaN,157.4845465,61.66967602,239.6920318,125.0315223,72.17400978,232.2830595,NaN,NaN,NaN,NaN,NaN,NaN,228.7748138,62.94879682,212.0319201,79.35219422,115.1512436,190.9456123,204.1087215,86.99396393,218.0997166,NaN,NaN,NaN,192.2873957,110.2749444,248.9387577,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,191.6999193,72.44388951,231.5630772,107.0058768,100.9937117,221.3435569,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
156.8689555,95.02505915,249.3947862,NaN,NaN,NaN,156.0833552,60.39384147,238.6574094,126.1653275,70.13137468,231.457154,NaN,NaN,NaN,NaN,NaN,NaN,230.0598097,56.30257939,218.2493491,72.54210584,110.5063634,196.4804822,205.9845703,81.90701826,220.6378616,NaN,NaN,NaN,192.4228563,107.3084192,248.701796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,191.3558162,68.85100409,233.1624157,104.9915571,97.61009549,222.8800813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
