Mf01R_X,Mf01R_Y,Mf01R_Z,Mf02R_X,Mf02R_Y,Mf02R_Z,Mf03R_X,Mf03R_Y,Mf03R_Z,Mi01R_X,Mi01R_Y,Mi01R_Z,Mi02R_X,Mi02R_Y,Mi02R_Z,Mi03R_X,Mi03R_Y,Mi03R_Z,Mi04R_X,Mi04R_Y,Mi04R_Z,Mi05R_X,Mi05R_Y,Mi05R_Z,Mi06R_X,Mi06R_Y,Mi06R_Z,Mi07R_X,Mi07R_Y,Mi07R_Z,Mi08R_X,Mi08R_Y,Mi08R_Z,Mi09R_X,Mi09R_Y,Mi09R_Z,shdR_X,shdR_Y,shdR_Z,elbR_X,elbR_Y,elbR_Z,wstR_X,wstR_Y,wstR_Z,t3R_X,t3R_Y,t3R_Z,t4R_X,t4R_Y,t4R_Z,mcp5R_X,mcp5R_Y,mcp5R_Z,ip5R_X,ip5R_Y,ip5R_Z,t5R_X,t5R_Y,t5R_Z,kneeR_X,kneeR_Y,kneeR_Z,ankR_X,ankR_Y,ankR_Z,str_X,str_Y,str_Z,lmb_X,lmb_Y,lmb_Z,Te01R_X,Te01R_Y,Te01R_Z,Te02R_X,Te02R_Y,Te02R_Z,Te03R_X,Te03R_Y,Te03R_Z,Te05R_X,Te05R_Y,Te05R_Z
1.4647,33.4757,22.0257,1.8905,33.951,21.1492,2.209,33.0227,21.946,0.2444,32.5996,23.374,NaN,NaN,NaN,NaN,NaN,NaN,-3.3775,33.8914,23.1055,-2.2967,33.8521,23.0174,-1.1448,34.0009,22.8296,-0.2951,35.4983,20.9704,-1.6994,35.7915,21.0351,-3.1306,35.772,21.3615,3.0772,30.7912,22.4859,0.1605,33.0898,22.4718,1.8452,36.7448,17.7412,-5.4806,41.0589,14.186,-5.3758,39.5324,16.6535,-1.5298,36.9764,19.3511,-3.3726,37.0959,19.9786,-5.3695,36.9056,20.7311,-2.8387,30.5254,24.57,-5.4256,29.9289,25.5038,3.188,29.4685,23.8597,1.0401,28.8451,24.4045,-4.8236,32.0242,24.4077,-4.3759,34.091,23.1608,-4.5577,35.7552,21.7936,-4.5762,38.5459,18.6047
1.5098,33.3897,21.9157,1.9228,33.8317,21.0278,2.249,32.9558,21.8645,0.2806,32.5256,23.3151,NaN,NaN,NaN,NaN,NaN,NaN,-3.3922,33.7787,22.9242,-2.302,33.7588,22.8512,-1.1359,33.8847,22.6958,-0.288,35.4278,20.841,-1.6962,35.7493,20.9384,-3.139,35.7022,21.2166,3.1232,30.74,22.453,0.2082,33.0232,22.3994,1.8082,36.5948,17.554,-5.4644,40.9077,13.8964,-5.4,39.3914,16.4202,-1.5498,36.8573,19.1859,-3.3857,36.9974,19.8297,-5.3784,36.8563,20.6124,-2.783,30.4252,24.5027,-5.3852,29.8478,25.4451,3.2368,29.4279,23.8286,1.0919,28.8014,24.3697,-4.8102,31.928,24.2775,-4.3896,33.9771,22.9776,-4.569,35.6638,21.6372,-4.5963,38.4208,18.41
1.5366,33.3362,21.8332,1.9513,33.7571,20.9276,2.2913,32.8884,21.7844,0.3203,32.5151,23.2792,NaN,NaN,NaN,-3.3432,31.6294,24.2065,-3.3933,33.6573,22.7485,-2.291,33.6376,22.6788,-1.1246,33.8415,22.5899,-0.2778,35.3623,20.7256,-1.6827,35.691,20.8231,-3.1338,35.5999,21.0678,3.1701,30.6884,22.4189,0.2503,32.9438,22.3118,1.7853,36.4146,17.3643,-5.4474,40.7442,13.5808,-5.4219,39.189,16.157,-1.5659,36.7345,19.0215,-3.3985,36.8962,19.6796,-5.3771,36.7649,20.4737,-2.7316,30.3908,24.5153,-5.3451,29.7552,25.3779,3.2825,29.3763,23.7972,1.1406,28.7479,24.3334,-4.7827,31.813,24.154,-4.3829,33.8385,22.7873,-4.5723,35.5517,21.4815,-4.6171,38.276,18.2005
1.5752,33.2508,21.7342,1.9817,33.6668,20.8212,2.3298,32.8134,21.6997,0.3566,32.4736,23.2218,-1.8083,32.1294,24.03,-3.3018,31.5753,24.118,-3.3665,33.5239,22.5795,-2.2764,33.5576,22.5465,-1.0929,33.7657,22.4689,-0.2534,35.2923,20.6166,-1.6676,35.6283,20.7084,-3.124,35.54,20.958,3.2022,30.5704,22.3558,0.2883,32.9105,22.2738,1.7719,36.2862,17.2462,-5.4301,40.5258,13.2571,-5.4441,38.9994,15.8933,-1.5708,36.5843,18.8489,-3.4054,36.7566,19.5141,-5.3798,36.6521,20.3287,-2.6922,30.3143,24.4681,-5.3021,29.6576,25.2943,3.3665,29.245,23.751,1.1931,28.7075,24.2996,-4.7491,31.7038,24.0281,-4.3611,33.6838,22.5996,-4.5596,35.4343,21.3268,-4.6364,38.1043,17.9723
1.6094,33.1932,21.6523,2.0186,33.5788,20.7178,2.3736,32.7471,21.6275,0.399,32.387,23.1322,-1.7772,32.045,23.968,-3.2589,31.4678,24.0035,-3.3338,33.3987,22.4248,-2.2406,33.4684,22.4268,-1.0618,33.6833,22.3406,-0.2282,35.2042,20.4882,-1.6487,35.5794,20.6194,-3.0959,35.4655,20.8348,3.2717,30.382,22.313,0.3364,32.812,22.163,1.756,35.99,17.074,-5.4133,40.2658,12.9205,-5.4562,38.7622,15.6187,-1.5757,36.4362,18.6759,-3.407,36.6102,19.3394,-5.3768,36.5113,20.1647,-2.6504,30.2379,24.4148,-5.2659,29.5814,25.2278,3.3919,29.142,23.723,1.2401,28.6635,24.2652,-4.7113,31.5944,23.9055,-4.3272,33.5258,22.4151,-4.5377,35.2908,21.1648,-4.6527,37.9226,17.7361
1.6412,33.0995,21.5523,2.0516,33.5016,20.6167,2.4145,32.6842,21.5492,0.4315,32.3363,23.0586,-1.7625,31.8329,23.8044,-3.2187,31.4003,23.9105,-3.2797,33.299,22.2986,-2.1988,33.3983,22.33,-1.0191,33.6146,22.243,-0.1962,35.1028,20.3579,-1.6195,35.4965,20.4967,-3.0659,35.4057,20.7337,3.3207,30.369,22.295,0.3657,32.74,22.134,1.7666,35.736,16.886,-5.4017,39.9588,12.5765,-5.4612,38.517,15.3411,-1.5748,36.2614,18.4917,-3.4065,36.444,19.1561,-5.3673,36.3544,19.9908,-2.6277,30.2232,24.4211,-5.2259,29.4911,25.1414,3.4823,29.138,23.694,1.2874,28.6192,24.2312,-4.6688,31.4859,23.7843,-4.2758,33.3883,22.2512,-4.5026,35.1711,21.0177,-4.6704,37.718,17.4882
1.6808,33.0152,21.4518,2.0946,33.4111,20.5124,2.4614,32.5936,21.4616,0.466,32.2776,22.9863,-1.7223,31.7628,23.7047,-3.1702,31.3027,23.8132,-3.2248,33.2048,22.1957,-2.1531,33.3352,22.2445,-0.9752,33.5394,22.142,-0.1614,35.0165,20.2251,-1.5841,35.394,20.3611,-3.029,35.3174,20.6256,3.3659,30.309,22.256,0.3798,32.48,21.969,1.7495,35.587,16.705,-5.4036,39.5899,12.2242,-5.4597,38.2486,15.0584,-1.5668,36.0879,18.3054,-3.4007,36.2657,18.9654,-5.3573,36.1782,19.799,-2.5847,30.1655,24.378,-5.1851,29.426,25.0665,3.4971,29.057,23.666,1.3365,28.5758,24.1969,-4.6183,31.363,23.6606,-4.2176,33.2499,22.0974,-4.4614,35.0471,20.8667,-4.6782,37.4903,17.242
1.7311,32.9063,21.3293,2.1362,33.2873,20.4025,2.5006,32.5113,21.3773,0.506,32.2048,22.9079,-1.6838,31.6825,23.5961,-3.1337,31.226,23.7177,-3.1705,33.1237,22.1071,-2.1248,33.3605,22.207,-0.9357,33.4698,22.0434,-0.1329,34.9094,20.0874,-1.5529,35.291,20.2231,-2.9911,35.2011,20.4875,3.3943,30.248,22.204,0.4258,32.463,21.874,1.7642,35.527,16.554,-5.4078,39.1775,11.8799,-5.4485,37.9501,14.7684,-1.5524,35.9094,18.1147,-3.3909,36.0942,18.7682,-5.3468,35.9952,19.6058,-2.5457,30.0999,24.3304,-5.1404,29.3255,24.9747,3.5486,29.071,23.653,1.3838,28.5346,24.1636,-4.5711,31.2661,23.5432,-4.159,33.143,21.9595,-4.4243,34.9329,20.7285,-4.6782,37.2451,16.9864
1.776,32.8279,21.2261,2.1748,33.202,20.2951,2.5413,32.4298,21.2895,0.5476,32.1662,22.8436,-1.6532,31.5942,23.482,-3.094,31.1675,23.6379,-3.1214,33.0739,22.0409,-2.0713,33.3261,22.1332,-0.8991,33.4067,21.9393,-0.1023,34.7775,19.9364,-1.5243,35.1553,20.053,-2.9586,35.0689,20.3301,3.4365,30.259,22.215,0.4507,32.412,21.763,1.8032,35.326,16.363,-5.4083,38.7269,11.5552,-5.4333,37.6226,14.4783,-1.5289,35.7175,17.9203,-3.371,35.8901,18.5538,-5.3323,35.7768,19.3893,-2.4924,30.0472,24.268,-5.1002,29.2527,24.8934,3.5887,29.023,23.6,1.4307,28.4941,24.1323,-4.5258,31.1749,23.4303,-4.0997,33.0721,21.8464,-4.3945,34.7989,20.5739,-4.6665,36.9557,16.71
1.8028,32.7456,21.1331,2.2177,33.0872,20.1879,2.5787,32.3327,21.195,0.5846,32.1069,22.7616,-1.6083,31.5486,23.377,-3.0576,31.0904,23.5387,-3.0862,33.0636,21.9902,-2.031,33.2707,22.0527,-0.8541,33.324,21.8353,-0.0738,34.6441,19.7747,-1.5055,35.0212,19.8804,-2.9273,34.9426,20.1529,3.4851,30.204,22.151,0.5092,32.329,21.63,1.8301,35.086,16.176,-5.4044,38.258,11.2551,-5.4019,37.2749,14.193,-1.5235,35.5819,17.7542,-3.3444,35.6957,18.3361,-5.3075,35.5711,19.1633,-2.4542,30.019,24.23,-5.056,29.167,24.8023,3.6386,29.007,23.597,1.4774,28.4582,24.1023,-4.4828,31.0801,23.3138,-4.051,33.0158,21.7541,-4.3668,34.6758,20.4152,-4.6324,36.6595,16.4444
