Mf01R_X,Mf01R_Y,Mf01R_Z,Mf02R_X,Mf02R_Y,Mf02R_Z,Mf03R_X,Mf03R_Y,Mf03R_Z,Mo01R_X,Mo01R_Y,Mo01R_Z,shdR_X,shdR_Y,shdR_Z,elbR_X,elbR_Y,elbR_Z,wstR_X,wstR_Y,wstR_Z,mcp3R_X,mcp3R_Y,mcp3R_Z,ip3R_X,ip3R_Y,ip3R_Z,t3R_X,t3R_Y,t3R_Z,mcp4R_X,mcp4R_Y,mcp4R_Z,ip4R_X,ip4R_Y,ip4R_Z,t4R_X,t4R_Y,t4R_Z,mcp5R_X,mcp5R_Y,mcp5R_Z,ip5R_X,ip5R_Y,ip5R_Z,t5R_X,t5R_Y,t5R_Z,hipR_X,hipR_Y,hipR_Z,kneeR_X,kneeR_Y,kneeR_Z,ankR_X,ankR_Y,ankR_Z,str_X,str_Y,str_Z,lmb_X,lmb_Y,lmb_Z,Sn04R_X,Sn04R_Y,Sn04R_Z
1.1012,24.0341,14.5105,2.013,23.7374,14.1742,1.6479,24.1561,15.114,4.369212,19.146775,9.025132,1.6931,23.4233,16.6605,-0.3924,23.6078,14.4857,4.8482,21.7577,11.6922,4.9768,18.5434,9.2755,5.3141,16.1119,7.6216,3.9107,14.5328,5.0759,3.8224,19.1481,9.203,3.233,17.6585,7.6984,1.7414,16.2531,6.4982,1.5519,20.7242,10.2811,-0.1513,20.0263,9.5776,-2.1168,19.245,9.1969,-3.0671,22.719,18.5014,-4.3373,23.5453,17.7484,-6.1578,21.3821,17.6504,NaN,NaN,NaN,NaN,NaN,NaN,3.3017,21.5422,10.8086
1.123,23.997,14.5431,2.0622,23.7775,14.223,1.7056,24.1196,15.1086,NaN,NaN,NaN,1.7459,23.4483,16.6556,-0.3503,23.6182,14.5082,4.976,21.8305,11.8653,5.1759,18.5414,9.5469,5.5932,16.1347,7.9892,4.2286,14.1938,5.5528,4.0183,19.1212,9.4402,3.4721,17.5553,7.9945,2.0162,16.0513,6.835,1.7147,20.6743,10.4439,0.0309,19.9188,9.744,-1.9136,19.0774,9.3654,-2.9995,22.7289,18.4861,-4.2821,23.5701,17.7399,-6.094,21.3968,17.6558,NaN,NaN,NaN,NaN,NaN,NaN,3.4429,21.5396,10.9643
1.1666,24.0158,14.5693,2.1081,23.8153,14.2684,1.754,24.1527,15.1288,NaN,NaN,NaN,1.8012,23.4744,16.6462,-0.3095,23.6219,14.5249,5.0985,21.9113,12.0363,5.3744,18.5681,9.8298,5.8583,16.0561,8.4052,NaN,NaN,NaN,4.2035,19.1055,9.6856,3.7125,17.4489,8.3024,2.2867,15.8963,7.1714,1.8684,20.6304,10.6078,0.2154,19.8298,9.9131,-1.7147,18.9421,9.5371,-2.9371,22.747,18.4712,-4.2187,23.5747,17.7313,-6.0324,21.4225,17.656,1.504064,22.645098,17.894735,-0.657462,22.438179,18.316485,3.5753,21.5665,11.1232
1.21,24.032,14.5976,2.1525,23.849,14.3126,1.7973,24.1795,15.1417,NaN,NaN,NaN,1.8619,23.4874,16.6312,-0.2703,23.6426,14.5462,5.2156,21.9996,12.2019,5.5674,18.6042,10.1072,6.1021,16.0049,8.7785,NaN,NaN,NaN,4.3825,19.1162,9.9244,3.9439,17.382,8.6094,2.5516,15.7754,7.5131,2.0231,20.6152,10.7755,0.3995,19.7677,10.0881,-1.5207,18.842,9.7079,-2.8735,22.7718,18.4588,-4.1537,23.5953,17.7256,-5.9747,21.4627,17.6606,1.55817,22.672173,17.878095,-0.60085,22.458334,18.295371,3.7068,21.5807,11.2793
1.255,24.0633,14.6251,2.1972,23.8953,14.3577,1.841,24.2147,15.1579,NaN,NaN,NaN,1.917,23.5031,16.6172,-0.2336,23.6658,14.5617,5.3229,22.1168,12.3661,5.7565,18.654,10.3928,6.3543,16.0222,9.159,NaN,NaN,NaN,4.5638,19.1479,10.1669,4.1647,17.3452,8.9129,2.8148,15.6221,7.8717,2.168,20.6151,10.9412,0.533,19.5632,10.274,-1.3246,18.7062,9.8848,-2.8138,22.7765,18.4462,-4.097,23.6262,17.7172,-5.9202,21.4951,17.6562,1.616261,22.700775,17.865317,-0.538762,22.47574,18.286344,3.7994,21.524,11.4462
1.2963,24.0949,14.648,2.2367,23.9492,14.399,1.8828,24.2494,15.1715,NaN,NaN,NaN,1.9799,23.533,16.6055,-0.1961,23.6893,14.5714,5.4077,22.1027,12.5374,5.9432,18.7592,10.6396,6.5829,16.0484,9.5242,NaN,NaN,NaN,4.7346,19.2072,10.4051,4.3872,17.3098,9.2079,3.063,15.5607,8.2269,2.2736,20.5066,11.1175,0.7078,19.543,10.4486,-1.1364,18.641,10.0662,-2.7514,22.8028,18.4321,-4.04,23.6569,17.7106,-5.8666,21.5239,17.6472,1.684946,22.714525,17.846436,-0.478881,22.521161,18.279339,3.9254,21.6097,11.597
1.3326,24.1408,14.6746,2.2718,23.9976,14.4316,1.9223,24.2804,15.1774,NaN,NaN,NaN,2.0411,23.5502,16.5896,-0.158,23.7224,14.5861,5.502,22.2312,12.6864,6.1036,18.7954,10.9175,6.8188,16.0061,9.9233,NaN,NaN,NaN,4.8997,19.2862,10.6354,4.6086,17.2804,9.5237,3.3134,15.5034,8.5814,2.4134,20.5463,11.2793,0.8663,19.5348,10.6137,-0.9612,18.4522,10.2563,-2.6883,22.8194,18.4205,-3.9792,23.6743,17.7026,-5.8169,21.5647,17.6392,1.744518,22.737848,17.836854,-0.4112,22.534183,18.261466,4.042,21.6919,11.743
1.3642,24.1751,14.6901,2.3086,24.0621,14.4657,1.9617,24.3246,15.1871,NaN,NaN,NaN,2.1009,23.579,16.5727,-0.1216,23.7625,14.5934,5.5922,22.3943,12.8305,6.2763,19.0154,11.1999,7.0457,16.1681,10.2938,NaN,NaN,NaN,5.0543,19.3638,10.8696,4.7962,17.4137,9.8112,3.539,15.5226,8.9236,2.5478,20.6106,11.4375,1.0238,19.525,10.786,-0.7804,18.4412,10.4324,-2.627,22.8339,18.4084,-3.909,23.7124,17.6953,-5.7672,21.6171,17.6345,1.809002,22.747343,17.813573,-0.34538,22.540504,18.249937,4.1432,21.7852,11.8849
1.4007,24.239,14.7102,2.335,24.1071,14.4944,2.0014,24.3744,15.1939,NaN,NaN,NaN,2.1651,23.5987,16.5579,-0.0917,23.8039,14.5998,5.6752,22.5591,12.9639,6.4244,19.1342,11.4511,7.2649,16.3514,10.6415,NaN,NaN,NaN,5.1995,19.4688,11.0921,4.9933,17.4153,10.119,3.7725,15.4947,9.2798,2.6702,20.6844,11.5923,1.1792,19.558,10.9506,-0.6055,18.3896,10.6073,-2.5653,22.8544,18.3962,-3.8447,23.7318,17.6854,-5.7197,21.6701,17.6279,1.86822,22.755191,17.79829,-0.280829,22.534462,18.226675,4.2434,21.8975,12.0217
1.4213,24.2381,14.7275,2.349,24.1507,14.5234,2.0355,24.4224,15.1984,NaN,NaN,NaN,2.2289,23.6187,16.5419,-0.06,23.8561,14.6036,5.7505,22.7294,13.0856,6.5678,19.2699,11.6779,7.4402,16.42,10.9831,NaN,NaN,NaN,5.3413,19.5951,11.3048,5.1794,17.4541,10.4192,3.9891,15.4738,9.6314,2.7829,20.7673,11.7396,1.3221,19.5986,11.1067,-0.4348,18.3766,10.7796,-2.504,22.8668,18.3833,-3.7836,23.759,17.6759,-5.6734,21.7141,17.6162,1.94439,22.780774,17.789017,-0.213357,22.559564,18.217021,4.336,22.0253,12.1509
1.4604,24.2861,14.7483,2.3759,24.2127,14.5469,2.076,24.4805,15.199,NaN,NaN,NaN,2.2957,23.6357,16.5215,-0.0278,23.9072,14.6088,5.8134,22.9331,13.2038,6.6952,19.4133,11.8912,7.6354,16.6308,11.3281,NaN,NaN,NaN,5.469,19.7348,11.5238,5.3595,17.5831,10.6909,4.1796,15.5844,9.9584,2.8971,20.8571,11.8802,1.457,19.6313,11.2662,-0.2731,18.3951,10.9493,-2.4451,22.8815,18.3755,-3.7241,23.8045,17.6717,-5.631,21.7612,17.6028,2.00688,22.786627,17.769703,-0.152296,22.579644,18.209297,4.4194,22.1842,12.2731
1.4785,24.3636,14.7613,2.4005,24.3124,14.5692,2.0842,24.448,15.2099,NaN,NaN,NaN,2.3596,23.6532,16.5013,-0.0339,23.9689,14.619,5.8743,23.1093,13.3087,6.818,19.5563,12.1109,7.7969,16.7607,11.6393,NaN,NaN,NaN,5.5934,19.9444,11.7268,5.516,17.7208,10.9742,4.4052,15.6595,10.2128,3.0019,20.9436,12.0218,1.5883,19.7148,11.4198,-0.1217,18.4164,11.108,-2.385,22.891,18.3619,-3.6543,23.83,17.6631,-5.5916,21.8193,17.593,2.067824,22.788844,17.747073,-0.08303,22.561976,18.182757,4.4992,22.3161,12.3875
1.5071,24.4252,14.7792,2.4259,24.3998,14.5911,2.1173,24.5234,15.2193,NaN,NaN,NaN,2.4276,23.6818,16.4806,-0.0044,24.0278,14.6246,5.9268,23.3305,13.4098,6.9256,19.7478,12.2931,7.9483,16.9654,11.9541,NaN,NaN,NaN,5.7041,20.1242,11.9324,5.6668,17.8559,11.2382,4.6032,15.732,10.5404,3.0949,21.0964,12.1506,1.7005,19.8211,11.5653,0.0305,18.4832,11.2676,-2.3236,22.8988,18.3511,-3.5887,23.8558,17.6557,-5.5533,21.8809,17.5812,2.143546,22.801184,17.72986,-0.018331,22.557079,18.164439,4.5705,22.4752,12.4956
