Mf01R_X,Mf01R_Y,Mf01R_Z,Mf02R_X,Mf02R_Y,Mf02R_Z,Mf03R_X,Mf03R_Y,Mf03R_Z,shdR_X,shdR_Y,shdR_Z,elbR_X,elbR_Y,elbR_Z,wstR_X,wstR_Y,wstR_Z,mcp3R_X,mcp3R_Y,mcp3R_Z,ip3R_X,ip3R_Y,ip3R_Z,t3R_X,t3R_Y,t3R_Z,mcp4R_X,mcp4R_Y,mcp4R_Z,ip4R_X,ip4R_Y,ip4R_Z,t4R_X,t4R_Y,t4R_Z,mcp5R_X,mcp5R_Y,mcp5R_Z,ip5R_X,ip5R_Y,ip5R_Z,t5R_X,t5R_Y,t5R_Z,hipR_X,hipR_Y,hipR_Z,kneeR_X,kneeR_Y,kneeR_Z,ankR_X,ankR_Y,ankR_Z,str_X,str_Y,str_Z,lmb_X,lmb_Y,lmb_Z
0.8906,3.0992,16.8194,1.7671,3.2372,16.1769,1.5136,3.1278,17.4938,1.8112,1.9902,19.6537,-0.3764,2.5728,16.8741,3.4732,2.995,11.8181,3.0257,2.0042,8.1929,2.8848,1.1008,5.4909,1.1151,1.2994,2.7535,1.8151,2.5874,8.7398,0.823,1.9879,6.8432,-0.8836,1.1703,5.423,-0.1931,2.7302,10.9668,-2.0043,2.1523,10.3803,-3.9996,1.4392,10.1145,-2.7125,-0.3725,20.5162,-4.2711,0.5932,19.5009,NaN,NaN,NaN,1.504,1.0758,21.147,-0.3603,0.0375,21.0979
1.0527,3.1286,16.8484,1.9265,3.2287,16.1858,1.633,3.1627,17.5375,1.8893,2.0711,19.6871,-0.2445,2.5604,16.8706,3.8274,2.8812,11.8936,3.479,1.8222,8.2876,3.4495,0.8494,5.5938,1.7777,1.0453,2.786,2.2409,2.3967,8.7722,1.292,1.7955,6.8575,-0.406,0.9774,5.3825,0.1482,2.5703,10.9517,-1.6733,1.9737,10.2926,-3.6215,1.2421,9.9658,-2.6513,-0.2897,20.5374,-3.9783,0.3395,19.4163,NaN,NaN,NaN,1.5756,1.1499,21.1724,-0.2907,0.1212,21.1158
1.2126,3.1321,16.8563,2.1197,3.225,16.238,1.7686,3.1887,17.5579,1.972,2.1516,19.7146,-0.0645,2.5523,16.841,4.1062,2.8063,12.0138,3.9198,1.6598,8.3969,3.9858,0.6764,5.7074,2.424,0.757,2.8474,2.6639,2.2364,8.8386,1.8089,1.5772,6.8944,0.1802,0.7447,5.3708,0.4899,2.3506,10.9456,-1.2892,1.8242,10.2243,-3.2352,1.0638,9.8462,-2.5857,-0.1983,20.5589,-3.9011,0.4232,19.4306,NaN,NaN,NaN,1.6647,1.1984,21.1816,-0.2218,0.1574,21.1373
1.3709,3.1428,16.869,2.2939,3.2155,16.2734,1.9052,3.2225,17.5852,2.0532,2.2168,19.7452,0.1165,2.6558,16.8296,4.4074,2.7237,12.1361,4.3815,1.5377,8.5226,4.5277,0.4832,5.8522,3.0928,0.5819,2.9303,3.0862,2.0852,8.9165,2.3164,1.377,6.9475,0.776,0.4972,5.3805,0.8224,2.1936,10.9385,-0.884,1.6337,10.1732,-2.8442,0.8809,9.7462,-2.5243,-0.113,20.5786,-3.825,0.5092,19.4493,NaN,NaN,NaN,1.7499,1.2432,21.2109,-0.1552,0.1422,21.1338
1.5294,3.1572,16.8832,2.4748,3.2072,16.3135,2.0437,3.2399,17.6136,2.1357,2.2823,19.7735,0.2716,2.596,16.8283,4.7127,2.6224,12.2594,4.8148,1.327,8.694,5.0549,0.2322,6.0133,3.7529,0.3763,3.0467,3.5045,1.9295,9.0094,2.7745,1.2241,7.0212,1.2929,0.2854,5.4153,1.1705,2.045,10.9553,-0.503,1.4795,10.1664,-2.4475,0.6813,9.6787,-2.4636,-0.0058,20.6099,-3.7562,0.6013,19.4645,NaN,NaN,NaN,1.8289,1.2523,21.235,-0.0841,0.2874,21.1632
1.6855,3.1761,16.9072,2.6489,3.2062,16.364,2.1792,3.2735,17.6481,2.2133,2.3556,19.8064,0.4275,2.6691,16.8191,5.0183,2.5453,12.4049,5.2189,1.2534,8.8853,5.5799,0.1014,6.2158,4.3785,0.1792,3.1834,3.9316,1.7838,9.1276,3.2735,1.0065,7.1167,1.8569,-0.0047,5.4623,1.5335,1.9249,11.0014,-0.1157,1.2688,10.1558,-2.0378,0.4744,9.6352,-2.4065,0.0963,20.6322,-3.6856,0.7,19.4811,NaN,NaN,NaN,1.9051,1.3667,21.2542,-0.0118,0.3908,21.1866
1.8453,3.1862,16.933,2.8198,3.2091,16.4196,2.3149,3.2986,17.6835,2.3003,2.4292,19.8327,0.5982,2.6341,16.8398,5.3165,2.472,12.5628,5.667,1.1726,9.0603,6.0831,-0.0795,6.4007,5.0169,-0.0553,3.3638,4.3562,1.6309,9.2667,3.7764,0.8234,7.2525,2.4028,-0.1744,5.5578,1.8782,1.7673,11.0585,0.2766,1.1181,10.1911,-1.6235,0.2889,9.6247,-2.3488,0.1975,20.6559,-3.6138,0.7936,19.5002,NaN,NaN,NaN,1.9827,1.497,21.2761,0.0618,0.5099,21.2128
1.9953,3.1992,16.9626,2.9912,3.2108,16.4844,2.45,3.3313,17.7226,2.3803,2.5132,19.8645,0.7413,2.6129,16.8686,5.6137,2.4221,12.7297,6.085,0.9944,9.2621,6.6094,-0.2887,6.6299,5.6277,-0.2191,3.5597,4.7423,1.4945,9.4312,4.2563,0.6686,7.4038,2.9606,-0.3155,5.6945,2.2261,1.6298,11.1377,0.6628,0.9593,10.2388,-1.2178,0.1046,9.6435,-2.2888,0.3001,20.6751,-3.5325,0.8837,19.5134,NaN,NaN,NaN,2.0601,1.5496,21.2781,0.0903,0.5603,21.2085
2.1503,3.2086,16.9957,3.1575,3.2245,16.5528,2.5808,3.3666,17.7639,2.4607,2.586,19.8901,0.8948,2.5865,16.8607,5.9119,2.3741,12.9154,6.4663,0.8502,9.4862,7.0903,-0.3787,6.8978,6.2262,-0.3961,3.7945,5.1419,1.3595,9.6103,4.7098,0.5291,7.5834,3.4518,-0.4493,5.846,2.575,1.5264,11.2434,1.0513,0.8342,10.3246,-0.8199,-0.0941,9.6833,-2.2338,0.4067,20.702,-3.4434,0.9665,19.5284,NaN,NaN,NaN,2.1096,1.6706,21.3277,0.1557,0.6647,21.2445
2.3006,3.2398,17.0391,3.3203,3.2381,16.6213,2.7042,3.4029,17.8093,2.5398,2.6567,19.9206,1.0494,2.5897,16.8784,6.195,2.3493,13.1067,6.8648,0.7033,9.7093,7.5856,-0.4984,7.1944,6.8008,-0.6023,4.0619,5.5315,1.2637,9.8006,5.1407,0.3968,7.7847,3.9376,-0.7177,6.0014,2.915,1.4391,11.3608,1.4207,0.6883,10.4217,-0.4044,-0.2833,9.7556,-2.1695,0.515,20.7259,-3.3497,1.0469,19.5445,NaN,NaN,NaN,2.1981,1.7402,21.3537,0.2104,0.7501,21.2407
2.4447,3.2678,17.0841,3.4751,3.2687,16.6997,2.8273,3.4496,17.8607,2.6207,2.7344,19.95,1.1967,2.6071,16.9074,6.4658,2.3283,13.3118,7.287,0.6968,9.9669,8.062,-0.6238,7.5163,7.3606,-0.7842,4.3533,5.9121,1.1441,10.018,5.6085,0.221,8.011,4.4337,-0.9482,6.2048,3.2447,1.3543,11.4948,1.7816,0.5471,10.5415,0.0113,-0.4836,9.8673,-2.107,0.6213,20.7494,-3.2529,1.1304,19.5683,NaN,NaN,NaN,2.2428,1.8124,21.3497,0.3061,0.8648,21.2554
2.5844,3.3013,17.1302,3.6219,3.3094,16.7791,2.9445,3.505,17.9118,2.7048,2.821,19.9767,1.3675,2.5938,16.9406,6.7337,2.3354,13.5323,7.6466,0.6149,10.2449,8.5195,-0.7453,7.8376,7.9042,-0.9847,4.6773,6.2749,1.0691,10.2546,6.0529,0.0853,8.2674,4.9884,-1.0146,6.4776,3.5762,1.2749,11.6527,2.1347,0.4164,10.6836,0.4021,-0.6702,9.9946,-2.0361,0.7203,20.7772,-3.1594,1.2386,19.6379,NaN,NaN,NaN,2.3316,1.9689,21.3955,0.3476,1.0205,21.3346
2.7147,3.3351,17.1848,3.761,3.3494,16.8618,3.0592,3.5604,17.9701,2.7893,2.8919,20.0041,1.4858,2.635,16.9765,6.9834,2.3655,13.7584,8.0042,0.5626,10.5391,8.9542,-0.795,8.2403,8.4328,-1.1846,5.0307,6.6266,0.9957,10.5075,6.4551,-0.0125,8.5389,5.4309,-1.1486,6.7378,3.8946,1.2062,11.8262,2.4979,0.2936,10.8401,0.7743,-0.8025,10.1477,-1.9654,0.816,20.7982,-3.0701,1.3346,19.6762,NaN,NaN,NaN,2.4351,2.0026,21.3894,0.4222,1.0761,21.3155
2.8469,3.3792,17.2449,3.8966,3.3957,16.9487,3.1688,3.6047,18.0229,2.8675,2.9599,20.0294,1.6172,2.6553,17.0102,7.2273,2.3983,13.9921,8.3554,0.5432,10.8569,9.3842,-0.9617,8.5798,8.9083,-1.5069,5.4163,6.9646,0.9271,10.7729,6.8443,-0.1113,8.8277,5.9473,-1.368,7.0607,4.2149,1.141,12.0189,2.8396,0.175,11.0206,1.1578,-0.9763,10.3215,-1.8913,0.9204,20.8215,-2.9681,1.2562,19.7133,NaN,NaN,NaN,2.4907,2.053,21.4107,0.4585,1.164,21.3549
2.9665,3.4043,17.2999,4.0228,3.45,17.0418,3.2725,3.6717,18.0777,2.9492,3.0458,20.059,1.7451,2.6994,17.0593,7.4529,2.457,14.2322,8.6808,0.5249,11.178,9.8154,-0.944,9.021,9.4413,-1.5598,5.8285,7.2944,0.8952,11.0561,7.2547,-0.2333,9.1489,6.3735,-1.4715,7.3788,4.5127,1.0887,12.2183,3.1751,0.0719,11.2209,1.5478,-1.1432,10.5141,-1.8137,1.0315,20.8497,-2.8116,1.0926,19.6099,NaN,NaN,NaN,2.5623,2.1607,21.4449,0.5562,1.2562,21.3485
3.0974,3.5204,17.3642,4.1399,3.5122,17.1314,3.376,3.7405,18.1404,3.0358,3.1363,20.0878,1.8656,2.7339,17.1078,7.6616,2.544,14.4817,8.9844,0.4568,11.5196,10.2092,-1.0238,9.4143,9.9325,-1.7588,6.2747,7.6033,0.8615,11.3457,7.6541,-0.344,9.4803,6.8973,-1.4951,7.7128,4.8025,1.0473,12.439,3.5077,-0.0207,11.4397,1.903,-1.2746,10.7227,-1.7335,1.1258,20.8727,-2.6768,1.0113,19.6385,NaN,NaN,NaN,2.6259,2.2558,21.4443,0.6312,1.3885,21.3734
3.1999,3.5291,17.4257,4.2509,3.5894,17.2242,3.4708,3.8085,18.1988,3.1143,3.2052,20.1129,1.9819,2.7687,17.1623,7.8557,2.6344,14.7278,9.307,0.5585,11.8626,10.5863,-1.0507,9.8506,10.3652,-2.0545,6.739,7.9065,0.8541,11.6494,8.0237,-0.4274,9.8338,7.314,-1.5575,8.0795,5.0905,1.0055,12.6676,3.8244,-0.1051,11.6711,2.3222,-1.2251,10.9306,-1.6462,1.2193,20.8932,-2.6261,1.6088,19.4996,NaN,NaN,NaN,2.693,2.3358,21.4302,0.686,1.5067,21.4073
3.2983,3.5758,17.4912,4.3522,3.6587,17.3134,3.5621,3.8858,18.2549,3.1901,3.2919,20.1412,2.0723,2.838,17.2173,8.035,2.754,14.9781,9.5903,0.6117,12.2405,10.9452,-1.0738,10.3081,10.8592,-2.0594,7.2422,8.2226,1.0139,11.9503,8.3701,-0.4364,10.1867,7.7167,-1.6378,8.4577,5.3573,0.9833,12.9044,4.1279,-0.1636,11.9135,2.6647,-1.3169,11.1701,-1.5536,1.3159,20.9155,-2.5021,1.5778,19.5443,NaN,NaN,NaN,2.7687,2.376,21.476,0.7535,1.5518,21.399
3.3911,3.7266,17.5569,4.4459,3.7412,17.4044,3.646,3.9692,18.3118,3.2776,3.3764,20.1693,2.1712,2.8905,17.2681,8.1943,2.8863,15.2237,9.8512,0.6742,12.5514,11.3056,-1.0306,10.7788,11.307,-2.1838,7.7654,8.4984,1.0174,12.2742,8.7578,-0.3074,10.5489,8.1506,-1.7382,8.8756,5.6101,0.9882,13.1411,4.4329,-0.209,12.1668,3.0002,-1.4111,11.4278,-1.4611,1.4071,20.9409,NaN,NaN,NaN,NaN,NaN,NaN,2.8381,2.4593,21.5115,0.8112,1.6979,21.4334
3.4814,3.7203,17.622,4.5317,3.8322,17.496,3.7283,4.0514,18.3713,3.361,3.4519,20.1924,2.2686,2.9446,17.3214,8.3459,3.03,15.4671,10.1136,0.7422,12.9483,11.6364,-1.0146,11.2374,11.7372,-2.2492,8.3067,8.7531,1.0774,12.6011,9.0939,-0.3293,10.9462,8.5786,-1.9508,9.3353,5.8451,1.0729,13.3752,4.7302,-0.2615,12.4256,3.34,-1.5339,11.708,-1.3622,1.4975,20.9643,NaN,NaN,NaN,NaN,NaN,NaN,2.9223,2.5406,21.5134,0.8848,1.7678,21.4395
3.551,3.8846,17.6829,4.6066,3.9178,17.5829,3.8073,4.1399,18.4294,3.4489,3.5352,20.2166,2.3658,2.9899,17.3668,8.4771,3.189,15.7088,10.3496,0.8592,13.3149,11.9581,-0.9187,11.739,12.1365,-2.4131,8.8515,9.009,1.1223,12.9399,9.4163,-0.3149,11.3461,8.9625,-2.0029,9.7827,6.071,1.1724,13.6104,5.0178,-0.2542,12.6842,3.6638,-1.6203,11.9972,-1.26,1.5823,20.9833,NaN,NaN,NaN,NaN,NaN,NaN,3.013,2.6403,21.5327,0.995,1.8625,21.4544
3.6314,4.0097,17.7129,4.6759,4.0175,17.6677,3.8818,4.232,18.4845,3.5337,3.608,20.2356,2.4794,3.0455,17.4171,8.5925,3.3605,15.9483,10.5581,1.0317,13.7176,12.2594,-0.805,12.2376,12.5503,-2.3647,9.4401,9.2359,1.2004,13.2835,9.7185,-0.2817,11.7496,9.3195,-1.9474,10.2092,6.2871,1.2316,13.8552,5.2918,-0.1424,12.9367,3.9779,-1.6698,12.2804,-1.1542,1.6697,21.0084,NaN,NaN,NaN,NaN,NaN,NaN,3.068,2.7042,21.5361,1.0579,1.9755,21.4938
3.6783,4.1057,17.8033,4.7411,4.1311,17.7571,3.9557,4.3223,18.5371,3.6178,3.6915,20.2632,2.5438,3.007,17.4807,8.6912,3.5459,16.1795,10.7814,1.1581,14.071,12.5458,-0.675,12.7375,12.9402,-2.3315,10.0242,9.4496,1.3076,13.6139,9.9939,-0.2417,12.1615,9.6961,-2.0181,10.6726,6.4848,1.2767,14.1011,5.5436,-0.1355,13.2055,4.2803,-1.7224,12.5873,-1.0529,1.7454,21.0344,NaN,NaN,NaN,NaN,NaN,NaN,3.1571,2.7867,21.5506,1.1162,2.0209,21.4966
3.7672,4.0905,17.8246,4.8144,4.2108,17.8417,4.0274,4.4138,18.5893,3.7044,3.7762,20.2822,2.5409,3.4592,17.4914,8.7779,3.7305,16.406,10.9692,1.3107,14.4196,12.8062,-0.5244,13.2277,13.2992,-2.316,10.6054,9.6501,1.4327,13.9356,10.266,-0.1729,12.5781,10.0474,-2.0398,11.1824,6.6673,1.3858,14.3388,5.781,-0.0862,13.4713,4.5764,-1.7657,12.8753,-0.9521,1.8362,21.0614,NaN,NaN,NaN,NaN,NaN,NaN,3.2378,2.8888,21.5591,1.1914,2.1466,21.5268
