Le01R_X,Le01R_Y,Le01R_Z,Le02R_X,Le02R_Y,Le02R_Z,Le03R_X,Le03R_Y,Le03R_Z,Mf01R_X,Mf01R_Y,Mf01R_Z,Mf02R_X,Mf02R_Y,Mf02R_Z,Mf03R_X,Mf03R_Y,Mf03R_Z,Mi01R_X,Mi01R_Y,Mi01R_Z,Mi02R_X,Mi02R_Y,Mi02R_Z,Mi03R_X,Mi03R_Y,Mi03R_Z,Mi04R_X,Mi04R_Y,Mi04R_Z,Mi05R_X,Mi05R_Y,Mi05R_Z,Mi06R_X,Mi06R_Y,Mi06R_Z,Mi07R_X,Mi07R_Y,Mi07R_Z,Mi08R_X,Mi08R_Y,Mi08R_Z,Mi09R_X,Mi09R_Y,Mi09R_Z,Mm01R_X,Mm01R_Y,Mm01R_Z,Mm02R_X,Mm02R_Y,Mm02R_Z,Mm03R_X,Mm03R_Y,Mm03R_Z,Mo01R_X,Mo01R_Y,Mo01R_Z,Mo02R_X,Mo02R_Y,Mo02R_Z,Mo03R_X,Mo03R_Y,Mo03R_Z,shdR_X,shdR_Y,shdR_Z,elbR_X,elbR_Y,elbR_Z,wstR_X,wstR_Y,wstR_Z,mcp3R_X,mcp3R_Y,mcp3R_Z,ip3R_X,ip3R_Y,ip3R_Z,t3R_X,t3R_Y,t3R_Z,t4R_X,t4R_Y,t4R_Z,mcp5R_X,mcp5R_Y,mcp5R_Z,ip5R_X,ip5R_Y,ip5R_Z,t5R_X,t5R_Y,t5R_Z,kneeR_X,kneeR_Y,kneeR_Z,ankR_X,ankR_Y,ankR_Z,str_X,str_Y,str_Z,lmb_X,lmb_Y,lmb_Z,Sn02R_X,Sn02R_Y,Sn02R_Z,Sn03R_X,Sn03R_Y,Sn03R_Z,Sn04R_X,Sn04R_Y,Sn04R_Z,Sn05R_X,Sn05R_Y,Sn05R_Z,Sn06R_X,Sn06R_Y,Sn06R_Z,Te01R_X,Te01R_Y,Te01R_Z,Te02R_X,Te02R_Y,Te02R_Z,Te03R_X,Te03R_Y,Te03R_Z,Te04R_X,Te04R_Y,Te04R_Z,Te05R_X,Te05R_Y,Te05R_Z,Te06R_X,Te06R_Y,Te06R_Z,Te07R_X,Te07R_Y,Te07R_Z,Te08R_X,Te08R_Y,Te08R_Z,Te09R_X,Te09R_Y,Te09R_Z
0.0444,17.2243,19.3771,-0.1914,18.4575,17.9839,-0.0213,19.578,16.3704,-1.4472,18.0798,19.2512,-0.8181,18.4662,18.4655,-0.6856,17.6557,19.388,-2.8758,17.265,20.4045,-5.1458,17.0086,20.7679,NaN,NaN,NaN,-6.2645,18.6934,19.3076,-5.2488,18.698,19.4482,-4.1062,18.7064,19.4799,-2.9366,19.9509,17.674,-4.1882,20.3311,17.5134,-5.5714,20.5552,17.625,-3.487,22.0063,14.5102,-5.1747,22.2241,14.7538,-4.742,22.776,13.3558,-2.6843,22.3321,12.7398,-4.3222,23.0898,11.316,-3.9497,23.0617,10.4755,0.0382,15.3564,20.3205,-2.8529,17.6842,19.4981,-0.0745,20.975,14.804,-2.3308,22.0778,12.0829,-3.7066,22.7216,9.6943,-6.2676,24.4148,8.7158,-6.98,23.4128,11.7078,-3.7457,21.1362,15.6694,-5.5635,21.3333,15.9572,NaN,NaN,NaN,-6.1399,15.1541,21.2345,NaN,NaN,NaN,-0.1791,14.1966,21.7792,-2.381,13.7178,22.0079,-1.4663,16.2664,19.9541,-1.3861,19.2736,17.6414,-1.7971,21.1778,15.4634,-1.6273,21.7413,14.0962,-1.2023,21.6446,13.3593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.594,22.5992,14.1388,-6.6325,23.0734,12.9267,-6.4515,23.6518,11.2206,-6.057,24.0432,10.2885,-5.9384,24.3102,9.4146
0.0915,17.2221,19.3437,-0.1437,18.4173,17.8968,0.0179,19.4779,16.2415,-1.3976,18.0659,19.1748,-0.769,18.4375,18.3803,-0.6292,17.6374,19.3298,-2.8316,17.2903,20.3567,-5.1042,16.9971,20.6762,NaN,NaN,NaN,-6.23,18.6717,19.176,-5.2099,18.6617,19.3214,-4.0584,18.6528,19.3484,-2.9025,19.9106,17.5414,-4.1649,20.2914,17.3583,-5.5247,20.4062,17.4679,-3.4606,21.8567,14.2594,-5.1426,22.1103,14.4937,-4.6856,22.637,13.0723,-2.6318,22.1357,12.4865,-4.2396,22.8562,11.0171,-3.8596,22.8123,10.1836,0.0819,15.3646,20.3245,-2.8042,17.6991,19.4325,-0.0634,20.469,14.6505,-2.1891,21.9541,11.8756,-3.687,22.5967,9.4952,-6.1081,24.1037,8.3514,-6.8607,23.0781,11.3937,-3.7321,21.024,15.4621,-5.5303,21.1896,15.6899,NaN,NaN,NaN,-6.108,15.1634,21.2336,NaN,NaN,NaN,-0.1292,14.223,21.7861,-2.3256,13.7393,22.0152,-1.4172,16.2851,19.9373,-1.347,19.2067,17.5182,-1.7758,21.0619,15.2667,-1.5905,21.5891,13.8742,-1.1559,21.4665,13.1416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.5517,22.4832,13.8317,-6.5655,22.9274,12.6087,-6.3622,23.4383,10.884,-5.9541,23.7984,9.9329,-5.8117,24.0633,9.0503
0.142,17.2115,19.3051,-0.0912,18.3746,17.8131,0.0624,19.3798,16.1178,-1.3467,18.0474,19.0966,-0.7131,18.3909,18.2891,-0.5753,17.6163,19.2677,-2.7921,17.2913,20.2874,-5.0536,16.9711,20.588,NaN,NaN,NaN,-6.1876,18.6253,19.0609,-5.1671,18.6119,19.1841,-4.0154,18.6277,19.2314,-2.8705,19.864,17.3988,-4.1372,20.2378,17.2004,-5.4964,20.3552,17.3009,-3.4239,21.6943,14.0141,-5.1037,21.9597,14.2223,-4.6213,22.4656,12.7867,-2.5651,21.9273,12.2362,-4.151,22.6096,10.7236,-3.7583,22.531,9.8897,0.129,15.3825,20.3298,-2.7442,17.6875,19.3364,-0.0321,20.3192,14.4794,-2.1813,21.6324,11.6043,-3.5864,22.3383,9.2234,-6.0008,23.9454,8.0264,-6.7694,22.909,11.0544,-3.705,20.9036,15.2603,-5.5073,21.0968,15.4739,NaN,NaN,NaN,-6.0681,15.3746,21.2186,NaN,NaN,NaN,-0.0816,14.2287,21.7437,-2.2736,13.7596,22.0218,-1.3659,16.294,19.9098,-1.3054,19.1354,17.3941,-1.7486,20.9245,15.0733,-1.5491,21.424,13.655,-1.1029,21.2632,12.9268,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.5048,22.3409,13.5357,-6.4943,22.7547,12.2893,-6.2675,23.1953,10.5425,-5.8431,23.5262,9.5766,-5.6716,23.7712,8.6896
0.1911,17.2013,19.2658,-0.0342,18.3149,17.7259,0.115,19.271,15.9905,-1.2909,18.0294,19.0159,-0.6585,18.3378,18.1988,-0.5209,17.6066,19.2026,-2.7407,17.3282,20.2487,-5.0222,16.9406,20.4782,NaN,NaN,NaN,-6.1446,18.5684,18.9455,-5.1139,18.5623,19.0578,-3.9682,18.5827,19.0986,-2.8278,19.7965,17.2591,-4.1041,20.1895,17.0482,-5.4684,20.2862,17.1236,-3.3792,21.5281,13.7686,-5.0618,21.7857,13.956,-4.5549,22.2553,12.5063,-2.4902,21.7075,11.9921,-4.0496,22.344,10.4342,-3.6398,22.2296,9.6065,0.1778,15.399,20.3347,-2.6892,17.6453,19.229,0.0122,20.5194,14.2814,-2.1215,21.4309,11.3595,-3.4213,22.0361,8.925,-5.8109,23.5674,7.6837,-6.6931,22.7914,10.7072,-3.6761,20.7856,15.0602,-5.4719,20.9722,15.2564,NaN,NaN,NaN,-6.01,15.3869,21.2164,NaN,NaN,NaN,-0.0136,14.266,21.7919,-2.2292,13.794,22.0203,-1.3153,16.3033,19.8921,-1.2602,19.056,17.2693,-1.7134,20.791,14.8828,-1.4972,21.2393,13.4396,-1.042,21.0619,12.7182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.4545,22.1969,13.248,-6.4178,22.5653,11.9705,-6.159,22.9242,10.2063,-5.7231,23.2217,9.2353,-5.531,23.4735,8.3387
0.2482,17.1826,19.2205,0.0259,18.2444,17.6377,0.1701,19.1577,15.8713,-1.227,17.9956,18.9168,-0.606,18.2932,18.109,-0.4706,17.5883,19.1392,-2.6937,17.3292,20.1865,-4.9741,16.9242,20.4081,NaN,NaN,NaN,-6.0947,18.5263,18.8348,-5.0634,18.5185,18.9418,-3.9189,18.5424,18.9754,-2.7834,19.7293,17.1136,-4.0623,20.1213,16.8855,-5.4357,20.2007,16.9464,-3.3248,21.3421,13.5298,-5.0073,21.5948,13.6904,-4.4791,22.0152,12.2255,-2.4043,21.4845,11.7538,-3.9373,22.0579,10.1512,-3.5766,22.0155,9.3516,0.2234,15.4207,20.3433,-2.6279,17.6013,19.1528,0.0495,20.403,14.1675,-2.0014,21.1301,11.1367,-3.3303,21.7123,8.6855,-5.7295,23.2221,7.3759,-6.5691,22.3993,10.3002,-3.6289,20.639,14.8532,-5.4328,20.8539,15.0435,NaN,NaN,NaN,-5.9786,15.311,21.2199,NaN,NaN,NaN,0.0366,14.2261,21.7884,-2.1827,13.7978,22.0504,-1.2605,16.2955,19.8626,-1.2063,18.9764,17.1457,-1.6722,20.6374,14.6975,-1.4362,21.0556,13.2314,-0.9719,20.8507,12.5152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.8322,21.4692,14.3183,-6.393,22.0063,12.9512,-6.3332,22.3369,11.6578,-6.0428,22.6375,9.8807,-5.5922,22.9119,8.903,-5.3809,23.1361,8.0009
0.2991,17.1765,19.183,0.0842,18.1899,17.553,0.2327,19.0352,15.7509,-1.1709,17.9613,18.8295,-0.5519,18.2529,18.0282,-0.4089,17.5581,19.0699,-2.647,17.3084,20.1064,-4.9331,16.901,20.3285,NaN,NaN,NaN,-6.042,18.4727,18.7228,-5.0099,18.4714,18.8311,-3.8674,18.5203,18.8675,-2.7322,19.6517,16.9644,-4.0215,20.0499,16.7269,-5.3909,20.1261,16.7676,-3.2567,21.1448,13.3005,-4.9441,21.3845,13.4265,-4.3919,21.7567,11.9495,-2.3078,21.2431,11.5224,-3.8244,21.7709,9.8878,-3.4424,21.7007,9.0874,0.2656,15.4421,20.3506,-2.5715,17.5715,19.0917,0.102,20.2332,14.0173,-1.8991,20.8833,10.9078,-3.1845,21.5156,8.5075,-5.58,22.8203,7.0355,-6.463,22.2241,10.0599,-3.5699,20.4945,14.6565,-5.3793,20.706,14.8205,NaN,NaN,NaN,-5.9595,15.2317,21.2211,NaN,NaN,NaN,0.0532,14.3002,21.8094,-2.1247,13.8363,22.0576,-1.2114,16.3112,19.8413,-1.1506,18.8965,17.0277,-1.6157,20.4801,14.5107,-1.3658,20.8499,13.0275,-0.8905,20.6191,12.3228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.7765,21.3147,14.0546,-6.3175,21.7695,12.6613,-6.2393,22.0748,11.3488,-5.9147,22.3369,9.5663,-5.4572,22.5689,8.5831,-5.231,22.7755,7.6793
0.3387,17.1534,19.1483,0.147,18.1017,17.4666,0.2966,18.918,15.6447,-1.1174,17.9416,18.7565,-0.4914,18.1907,17.9409,-0.3587,17.5323,19.0067,-2.5992,17.3017,20.031,-4.8918,16.861,20.2488,-6.3478,16.5098,20.2453,-5.9889,18.4318,18.6159,-4.9574,18.4324,18.7232,-3.8094,18.492,18.7634,-2.6785,19.578,16.8268,-3.9687,19.9532,16.5494,-5.3433,20.0307,16.5748,-3.182,20.9423,13.0757,-4.8688,21.158,13.1685,-4.2975,21.4925,11.6885,-2.2058,20.9891,11.3059,-3.747,21.5594,9.6325,-3.2995,21.3727,8.8386,0.3115,15.4687,20.3542,-2.5158,17.5501,19.0229,0.1701,20.052,13.8651,-1.7984,20.6532,10.7074,-3.0506,21.0243,8.1924,-5.398,22.421,6.7124,-6.3295,21.8966,9.7509,-3.521,20.3404,14.4593,-5.3156,20.5481,14.5959,NaN,NaN,NaN,-5.8625,15.1606,21.225,NaN,NaN,NaN,0.1399,14.3347,21.8166,-2.0727,13.8731,22.0627,-1.1604,16.3506,19.799,-1.0916,18.8036,16.9071,-1.5525,20.3112,14.326,-1.2816,20.6397,12.838,-0.8003,20.3892,12.141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.7037,21.1188,13.7853,-6.2303,21.4966,12.3645,-6.1336,21.7708,11.0483,-5.7808,22.0177,9.2653,-5.3026,22.2322,8.2831,-5.0736,22.4002,7.377
0.3938,17.1428,19.1115,0.2119,18.0395,17.3852,0.3728,18.7821,15.5323,-1.0608,17.9034,18.6729,-0.4235,18.1158,17.8433,-0.3075,17.5056,18.9484,-2.5559,17.2915,19.9558,-4.8359,16.8332,20.1864,-6.3076,16.5771,20.179,-5.9387,18.3994,18.503,-4.9116,18.4154,18.6249,-3.7524,18.469,18.6608,-2.6171,19.4844,16.6752,-3.9112,19.858,16.3772,-5.2927,19.9338,16.3848,-3.0923,20.7247,12.8597,-4.7822,20.9323,12.9252,-4.1949,21.2194,11.4356,-2.0937,20.723,11.095,-3.6066,21.2472,9.3878,-3.1488,21.0521,8.6145,0.3583,15.4881,20.3579,-2.4575,17.5186,18.9435,0.2457,19.8644,13.7258,-1.6695,20.3462,10.5583,-2.8331,20.6083,7.9687,-5.2209,22.0099,6.4202,-6.2007,21.5637,9.4574,-3.4517,20.1625,14.2611,-5.2468,20.3769,14.3706,NaN,NaN,NaN,-5.8406,15.3589,21.205,NaN,NaN,NaN,0.1623,14.3999,21.8109,-2.0188,13.8909,22.095,-1.1089,16.3454,19.7414,-1.0242,18.7057,16.7919,-1.4809,20.1207,14.1414,-1.1921,20.4151,12.6523,-0.698,20.1473,11.9696,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.6181,20.8654,13.5258,-6.1335,21.1992,12.0862,-6.0175,21.4413,10.7566,-5.6352,21.6782,8.9805,-5.1464,21.8767,8.0012,-4.9073,22.0059,7.0865
0.4642,17.129,19.0664,0.2787,17.9599,17.3059,0.4511,18.6469,15.4326,-1.0031,17.8701,18.5868,-0.3585,18.058,17.7642,-0.253,17.4751,18.8929,-2.5019,17.282,19.8799,-4.7782,16.8172,20.1348,-6.247,16.4288,20.1348,-5.8923,18.3702,18.3755,-4.8659,18.3887,18.5203,-3.6991,18.4345,18.5481,-2.5573,19.3914,16.5232,-3.854,19.7471,16.194,-5.2336,19.8116,16.1836,-2.9936,20.5057,12.6561,-4.6801,20.6904,12.6888,-4.0801,20.9339,11.1975,-1.9729,20.4574,10.9059,-3.463,20.9197,9.1627,-2.9946,20.7213,8.4006,0.4043,15.522,20.365,-2.394,17.4857,18.8618,0.334,19.6701,13.5905,-1.5283,20.0065,10.3402,-2.7435,20.2978,7.7751,-5.0491,21.588,6.1559,-6.0571,21.1986,9.1819,-3.3593,19.9698,14.0652,-5.1673,20.1725,14.1509,NaN,NaN,NaN,-5.6916,15.4591,21.1711,NaN,NaN,NaN,0.2481,14.4356,21.8267,-1.9556,13.9607,22.1018,-1.0561,16.3248,19.7115,-0.9543,18.613,16.6846,-1.3973,19.927,13.9755,-1.0906,20.192,12.4782,-0.5902,19.9033,11.8086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.5179,20.5847,13.2621,-6.0219,20.8955,11.8186,-5.8906,21.0943,10.4844,-5.4837,21.3219,8.7146,-4.9724,21.5033,7.7313,-4.7342,21.6276,6.8241
0.5105,17.0943,19.0248,0.3536,17.8884,17.2388,0.5399,18.5092,15.3374,-0.9431,17.8314,18.5124,-0.2877,17.9912,17.6861,-0.1907,17.4494,18.8336,-2.452,17.2714,19.8124,-4.733,16.806,20.0833,-6.15,16.3502,20.0786,-5.8501,18.3332,18.2405,-4.8259,18.3512,18.4044,-3.646,18.3776,18.4278,-2.4892,19.2736,16.3715,-3.7885,19.6125,16.0185,-5.1656,19.6759,15.9791,-2.8848,20.2708,12.46,-4.574,20.4482,12.4652,-4.0094,20.7053,10.9322,-1.842,20.1753,10.7246,-3.3078,20.5994,8.953,-2.8255,20.3612,8.2007,0.4503,15.5462,20.3711,-2.3305,17.4526,18.78,0.4274,19.4765,13.4731,-1.4094,19.7497,10.2022,-2.5606,20.0558,7.6588,-4.8668,21.1601,5.9136,-5.8985,20.8374,8.9252,-3.2752,19.7847,13.8835,-5.0736,19.9537,13.9254,NaN,NaN,NaN,-5.6303,15.4787,21.1711,NaN,NaN,NaN,0.2801,14.4785,21.8193,-1.9456,13.9575,22.0919,-1.0001,16.3236,19.6984,-0.8779,18.5023,16.5773,-1.303,19.7328,13.8092,-0.9788,19.9599,12.3157,-0.4727,19.653,11.661,NaN,NaN,NaN,NaN,NaN,NaN,-6.6671,19.5926,15.9874,-6.4182,20.3589,13.0109,-5.8999,20.602,11.569,-5.7556,20.7635,10.2297,-5.3289,20.9637,8.4683,-4.7982,21.1435,7.4932,-4.5435,21.2327,6.5808
