shdR_X,shdR_Y,shdR_Z,elbR_X,elbR_Y,elbR_Z,wstR_X,wstR_Y,wstR_Z,t3R_X,t3R_Y,t3R_Z,t4R_X,t4R_Y,t4R_Z,t5R_X,t5R_Y,t5R_Z,kneeR_X,kneeR_Y,kneeR_Z,ankR_X,ankR_Y,ankR_Z,str_X,str_Y,str_Z,lmb_X,lmb_Y,lmb_Z
3.4306,25.1625,17.2496,1.0943,25.9455,14.7126,5.5155,26.0497,10.1773,2.5676,24.8633,1.1832,0.7063,25.2184,3.7392,-2.1913,26.0062,8.4497,-2.6893,25.1014,17.4676,-5.0825,23.4409,16.8903,NaN,NaN,NaN,NaN,NaN,NaN
3.4473,25.1921,17.2636,1.1234,26.1342,14.6758,5.6584,25.7567,10.2615,2.8783,24.4693,1.2282,0.9691,25.0013,3.7894,-1.9954,25.7682,8.3686,-2.6712,25.1158,17.4834,-5.0466,23.4466,16.9025,NaN,NaN,NaN,NaN,NaN,NaN
3.4665,25.2108,17.2829,1.1667,25.9752,14.6955,5.6779,25.7628,10.3319,3.1932,24.0835,1.292,1.223,24.6779,3.7966,-1.8385,25.5544,8.3075,-2.648,25.2289,17.4948,-5.0079,23.4416,16.9111,3.12646,24.386292,18.749767,0.97666,23.798028,18.887433
3.4946,25.2578,17.3041,1.164,25.9219,14.6961,5.9734,25.4513,10.4456,3.4887,23.7269,1.3738,1.4883,24.3652,3.8316,-1.6663,25.3245,8.2702,-2.6217,25.1759,17.5116,-4.9678,23.4488,16.9227,3.151883,24.421715,18.767671,0.995795,23.842645,18.907833
3.5213,25.2827,17.3215,1.2421,25.8695,14.6811,6.6671,25.2492,10.5789,3.7964,23.3723,1.4816,1.7499,24.0504,3.8825,-1.5021,25.1061,8.2486,-2.6011,25.2789,17.5218,-4.9267,23.4485,16.9322,3.176097,24.473988,18.783033,1.014835,23.873426,18.921542
3.545,25.3278,17.3427,1.3317,25.8231,14.7049,6.2458,25.3984,10.6704,4.114,22.99,1.6132,2.0107,23.736,3.9547,-1.3197,24.8546,8.2321,-2.5788,25.2977,17.5353,-4.8825,23.458,16.948,3.204704,24.514431,18.788421,1.038502,23.930976,18.943177
3.5684,25.3568,17.3588,1.3862,25.7858,14.7399,6.2554,25.5025,10.8609,4.4187,22.6503,1.7634,2.2688,23.4286,4.0488,-1.1686,24.6629,8.2379,-2.5537,25.324,17.5447,-4.8403,23.4584,16.9569,3.225701,24.548124,18.805489,1.060475,23.967466,18.955872
3.5942,25.3882,17.3812,1.3372,25.8314,14.6946,6.4016,25.2222,10.9488,4.7144,22.3189,1.9336,2.5273,23.1305,4.1656,-0.9937,24.4433,8.2585,-2.5218,25.3509,17.5603,-4.7983,23.4656,16.9723,3.24323,24.589869,18.829635,1.08817,24.012376,18.973754
3.6187,25.4303,17.4,1.4572,25.801,14.7764,6.5132,24.9106,11.0336,5.0106,21.9894,2.1251,2.7765,22.8187,4.2966,-0.8182,24.2319,8.2983,-2.4971,25.3658,17.5694,-4.7521,23.4715,16.9824,3.266623,24.634093,18.842147,1.107883,24.060033,18.984975
3.6448,25.4617,17.4207,1.5112,25.8248,14.7784,6.6719,25.3556,11.1133,5.3091,21.6656,2.3401,3.0279,22.5479,4.4531,-0.6356,24.036,8.3564,-2.4675,25.3935,17.582,-4.7051,23.4755,16.9986,3.29216,24.669601,18.854542,1.127089,24.114239,19.00686
