Mf01R_X,Mf01R_Y,Mf01R_Z,Mf02R_X,Mf02R_Y,Mf02R_Z,Mf03R_X,Mf03R_Y,Mf03R_Z,Mi01R_X,Mi01R_Y,Mi01R_Z,Mi02R_X,Mi02R_Y,Mi02R_Z,Mi03R_X,Mi03R_Y,Mi03R_Z,Mi04R_X,Mi04R_Y,Mi04R_Z,Mi05R_X,Mi05R_Y,Mi05R_Z,Mi06R_X,Mi06R_Y,Mi06R_Z,Mi07R_X,Mi07R_Y,Mi07R_Z,Mi08R_X,Mi08R_Y,Mi08R_Z,Mi09R_X,Mi09R_Y,Mi09R_Z,Mo01R_X,Mo01R_Y,Mo01R_Z,Mo02R_X,Mo02R_Y,Mo02R_Z,Mo03R_X,Mo03R_Y,Mo03R_Z,shdR_X,shdR_Y,shdR_Z,elbR_X,elbR_Y,elbR_Z,wstR_X,wstR_Y,wstR_Z,mcp3R_X,mcp3R_Y,mcp3R_Z,ip3R_X,ip3R_Y,ip3R_Z,t3R_X,t3R_Y,t3R_Z,t4R_X,t4R_Y,t4R_Z,mcp5R_X,mcp5R_Y,mcp5R_Z,t5R_X,t5R_Y,t5R_Z,kneeR_X,kneeR_Y,kneeR_Z,ankR_X,ankR_Y,ankR_Z,str_X,str_Y,str_Z,lmb_X,lmb_Y,lmb_Z
-0.041,25.4036,15.9748,0.894,25.2531,15.6497,0.5053,25.4795,16.6005,-2.0535,25.5179,16.8221,-4.3308,24.7304,16.8873,-5.5497,23.7612,16.7601,-4.1177,23.653,14.2824,-3.3937,24.2458,14.6838,-2.3496,24.8183,14.9769,-0.1533,24.5432,13.5726,-1.0224,23.9101,12.6628,-2.2282,23.3791,12.0535,3.627,21.6959,9.9322,3.45,20.3209,8.025,4.2526,19.9117,7.9178,0.5227,24.4351,18.5403,-1.5288,24.9899,15.9357,3.9519,23.6871,13.0684,4.2939,21.3851,10.0534,4.8094,19.6857,7.906,3.9909,18.0913,4.9753,1.2938,19.6124,6.5373,0.5182,23.0507,11.3662,-2.7996,21.8497,9.7071,-5.6166,24.3902,18.6773,NaN,NaN,NaN,0.2321,24.0316,19.885,-2.0398,23.3742,19.7405
0.027,25.4412,16.019,0.9606,25.2792,15.7141,0.5695,25.5256,16.6424,-1.9895,25.5712,16.8446,-4.2573,24.7483,16.9128,-5.4548,23.7686,16.783,-4.0077,23.6423,14.3445,-3.2972,24.2485,14.7327,-2.2649,24.8245,15.0248,-0.0432,24.5479,13.6776,-0.889,23.8839,12.767,-2.0805,23.3406,12.1625,3.7473,21.7629,10.1777,3.6236,20.1675,8.3307,4.4593,19.6554,8.2745,0.5864,24.4922,18.5448,-1.4837,25.0512,15.9656,4.0712,23.7136,13.2726,4.4868,21.358,10.284,5.0025,19.4925,8.2826,4.1978,17.8365,5.3709,1.462,19.6056,6.8303,0.7048,22.8536,11.5183,-2.6855,21.7589,9.8631,-5.554,24.4147,18.6809,NaN,NaN,NaN,0.2902,24.0764,19.8805,-1.9729,23.4222,19.737
0.0855,25.4866,16.0643,1.0215,25.3198,15.7819,0.6297,25.5716,16.6803,-1.9285,25.6037,16.8637,-4.1868,24.7738,16.927,-5.3709,23.7648,16.8133,-3.8922,23.6362,14.4062,-3.1977,24.246,14.7826,-2.1865,24.8347,15.0745,0.0634,24.5628,13.78,-0.758,23.8887,12.8806,-1.9369,23.3147,12.2778,3.9167,21.6475,10.4619,3.8271,19.9829,8.6727,4.5981,19.7632,8.595,0.6439,24.549,18.5527,-1.44,25.0859,15.9907,4.189,23.7613,13.4782,4.6304,21.3121,10.6367,5.175,18.9916,8.5511,4.3989,17.5773,5.789,1.6658,19.3952,7.1594,0.8049,22.8043,11.6933,-2.5244,21.6867,10.0086,-5.4803,24.4383,18.6819,NaN,NaN,NaN,0.3343,24.0857,19.8038,-1.9076,23.4612,19.7223
0.1404,25.539,16.1092,1.0764,25.38,15.8503,0.6849,25.6184,16.7195,-1.8727,25.6345,16.8887,-4.1175,24.7945,16.9485,-5.3055,23.7928,16.8465,-3.7899,23.6388,14.4634,-3.1006,24.256,14.8369,-2.0967,24.8672,15.1233,0.1684,24.5825,13.8916,-0.6376,23.882,12.9995,-1.8023,23.2888,12.393,4.0652,21.6197,10.7445,3.9907,19.875,9.0098,4.775,19.6257,8.969,0.7008,24.5965,18.5594,-1.3187,25.1324,16.0299,4.3062,23.8187,13.6805,4.7684,21.2343,10.9231,5.4293,19.3836,9.015,4.5896,17.3375,6.2283,1.8672,19.2016,7.4985,0.9917,22.6037,11.9124,-2.3212,21.5805,10.1767,-5.4111,24.463,18.6791,NaN,NaN,NaN,0.2826,23.9286,19.7341,-1.8167,23.5032,19.7094
0.1975,25.5831,16.1515,1.1303,25.4472,15.9145,0.7377,25.6672,16.755,-1.8149,25.6626,16.917,-4.0542,24.8264,16.9665,-5.2402,23.8298,16.8676,-3.7033,23.6615,14.5203,-3.0067,24.2709,14.8967,-2.0182,24.8882,15.1711,0.27,24.6163,13.9885,-0.5162,23.8952,13.1277,-1.6642,23.3115,12.5074,4.228,21.5355,11.0562,4.1452,19.9334,9.3471,4.9543,19.4779,9.3613,0.764,24.6634,18.5695,-1.2995,25.2601,16.077,4.4137,23.9014,13.8892,4.9376,21.1225,11.2769,5.5369,18.9392,9.4531,4.7735,17.1425,6.7004,2.0732,18.9759,7.8675,1.0939,22.7715,12.088,-2.2003,21.5375,10.345,-5.3407,24.4838,18.6785,NaN,NaN,NaN,0.353,23.9005,19.7152,-1.7843,23.5199,19.7352
0.2517,25.6355,16.1943,1.1823,25.5115,15.9809,0.7906,25.7262,16.7901,-1.7559,25.6905,16.9411,-3.988,24.8637,16.9874,-5.1707,23.873,16.8882,-3.6087,23.6881,14.5792,-2.9197,24.2944,14.9592,-1.944,24.928,15.2215,0.3676,24.6391,14.093,-0.3931,23.9276,13.2492,-1.5305,23.3114,12.6261,4.3728,21.5146,11.3571,4.313,19.8453,9.7121,5.1117,19.4319,9.7453,0.8326,24.7065,18.5774,-1.2601,25.3184,16.109,4.5108,23.9912,14.0891,5.0792,21.2683,11.596,5.7072,18.9187,9.9253,4.9276,16.9869,7.1845,2.26,18.8478,8.2361,1.233,22.8596,12.2769,-2.0019,21.4714,10.5157,-5.2745,24.5156,18.6821,NaN,NaN,NaN,0.4412,23.9638,19.724,-1.6799,23.5203,19.7131
0.3013,25.7001,16.2408,1.2283,25.5817,16.0468,0.8448,25.7954,16.8296,-1.6929,25.735,16.9713,-3.9192,24.897,17.0065,-5.1051,23.9008,16.9043,-3.5158,23.7299,14.6361,-2.8313,24.3314,15.0182,-1.8747,24.9721,15.2714,0.4544,24.7165,14.1973,-0.2852,23.9433,13.3737,-1.4179,23.3298,12.7376,4.5185,21.5263,11.6555,4.472,19.7749,10.093,5.2854,19.2602,10.1854,0.9025,24.7522,18.5775,-1.2216,25.3722,16.1416,4.6048,24.1175,14.2952,5.2284,21.1829,11.954,5.8623,18.6475,10.266,5.1619,16.7248,7.7585,2.4399,18.7274,8.6169,1.3329,22.8191,12.4225,-1.8761,21.451,10.6966,-5.2052,24.5469,18.683,NaN,NaN,NaN,0.504,23.9528,19.7215,-1.601,23.6359,19.7318
0.3483,25.7644,16.287,1.2747,25.6542,16.1083,0.8975,25.8691,16.8644,-1.6356,25.7853,16.9959,-3.8447,24.9332,17.0311,-5.0323,23.9353,16.9346,-3.4541,23.7763,14.69,-2.7482,24.3602,15.075,-1.8133,25.0204,15.3178,0.5321,24.7679,14.2976,-0.2258,24.0364,13.4866,-1.2976,23.3462,12.8633,4.6496,21.5429,11.9631,4.6358,19.6959,10.489,5.4337,19.2807,10.593,0.962,24.8054,18.5783,-1.1429,25.4105,16.1583,4.6881,24.2519,14.49,5.322,21.1804,12.2522,6.0209,18.7372,10.8078,5.3911,16.734,8.2553,2.6311,18.4984,9.0327,1.485,23.0209,12.6459,-1.6893,21.5227,10.8563,-5.1375,24.6002,18.6846,NaN,NaN,NaN,0.5805,24.0248,19.7406,-1.5519,23.5969,19.7268
0.3913,25.838,16.3325,1.3174,25.7358,16.1719,0.945,25.9387,16.8932,-1.5795,25.8552,17.0213,-3.7835,24.9825,17.0533,-4.9596,23.9788,16.9683,-3.3635,23.8027,14.7558,-2.675,24.398,15.1358,-1.7535,25.0719,15.3657,0.5894,24.8894,14.393,-0.1259,24.1103,13.6072,-1.2313,23.4663,12.9825,4.7677,21.6001,12.2696,4.7752,19.7183,10.8683,5.5866,19.1995,11.0221,1.0217,24.8607,18.5782,-1.1037,25.4965,16.198,4.7661,24.4073,14.6858,5.4548,21.1468,12.5567,6.1684,18.6986,11.2501,5.5461,16.5142,8.8726,2.804,18.4183,9.4485,1.6155,23.0879,12.8651,-1.5137,21.4395,11.0549,-5.0726,24.6336,18.6811,NaN,NaN,NaN,0.6163,24.1031,19.7439,-1.4638,23.6932,19.7378
0.4319,25.9144,16.3734,1.3518,25.8243,16.2272,0.9935,25.9993,16.922,-1.522,25.9311,17.0496,-3.7251,25.0217,17.0844,-4.8925,24.0009,16.9964,-3.2698,23.8352,14.8334,-2.6348,24.5008,15.1954,-1.7194,25.1505,15.4155,0.6621,24.976,14.4904,-0.0338,24.1686,13.7228,-1.1239,23.4844,13.1041,4.8914,21.649,12.568,4.911,19.733,11.2556,5.7283,19.2175,11.4515,1.0895,24.9233,18.5813,-1.0763,25.5924,16.2211,4.831,24.5893,14.8757,5.5623,21.4103,12.9336,6.3003,18.7452,11.689,5.7162,16.4978,9.4214,2.962,18.3017,9.8617,1.7076,23.1142,13.0568,-1.4133,21.5257,11.2113,-5.0033,24.6694,18.68,NaN,NaN,NaN,0.7071,24.0755,19.7251,-1.4226,23.7174,19.7248
0.468,25.9973,16.4165,1.3835,25.9347,16.2809,1.0387,26.0706,16.9538,-1.4684,25.99,17.074,-3.652,25.054,17.1177,-4.8349,24.0559,17.0269,-3.2164,23.9207,14.899,-2.5656,24.5398,15.2496,-1.6572,25.2101,15.4694,0.7328,25.0346,14.595,0.0579,24.2551,13.8466,-1.0147,23.5351,13.2342,4.9972,21.7389,12.8711,5.0494,19.7571,11.6492,5.8522,19.3904,11.8611,1.1602,24.9583,18.5782,-1.0444,25.6402,16.2042,4.9039,24.706,15.0613,5.6911,21.5267,13.2146,6.4291,18.6995,12.1042,5.7993,16.3465,9.9233,3.1038,18.3883,10.2505,1.8099,23.0591,13.2603,-1.3062,21.4946,11.4247,-4.9353,24.7115,18.6788,NaN,NaN,NaN,0.8111,24.0116,19.7343,-1.318,23.6028,19.7058
0.5,26.1002,16.4592,1.4156,26.0452,16.3355,1.0775,26.161,16.9821,-1.4128,26.0542,17.1049,-3.5737,25.094,17.1455,-4.7815,24.1182,17.0542,-3.1454,23.9783,14.9746,-2.4986,24.6189,15.3001,-1.6021,25.2824,15.5234,0.7975,25.1479,14.6948,0.1441,24.3369,13.9626,-0.9169,23.5882,13.3632,5.0917,21.8549,13.1676,5.1771,19.7465,12.0533,5.9827,19.3792,12.2792,1.2283,25.0089,18.5763,-1.0808,25.7414,16.1879,4.9367,24.94,15.2253,5.775,21.6639,13.502,6.5421,18.7151,12.5491,5.9784,16.3465,10.5246,3.2411,18.49,10.6235,1.923,23.2337,13.4175,-1.1812,21.5836,11.604,-4.864,24.7611,18.6816,NaN,NaN,NaN,0.8301,24.0825,19.718,-1.281,23.7857,19.713
