shdR_X,shdR_Y,shdR_Z,elbR_X,elbR_Y,elbR_Z,wstR_X,wstR_Y,wstR_Z,mcp3R_X,mcp3R_Y,mcp3R_Z,ip3R_X,ip3R_Y,ip3R_Z,t3R_X,t3R_Y,t3R_Z,t4R_X,t4R_Y,t4R_Z,mcp5R_X,mcp5R_Y,mcp5R_Z,ip5R_X,ip5R_Y,ip5R_Z,t5R_X,t5R_Y,t5R_Z,kneeR_X,kneeR_Y,kneeR_Z,ankR_X,ankR_Y,ankR_Z,str_X,str_Y,str_Z,lmb_X,lmb_Y,lmb_Z
-3.9673,27.2783,23.1044,-6.2764,29.0508,20.7069,-2.8284,29.6936,15.4438,-4.2018,29.7372,11.9542,-4.945,29.7559,9.1624,-6.8954,30.912,6.9884,NaN,NaN,NaN,-6.4799,30.2053,15.3994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.3863,26.5007,24.4717,NaN,NaN,NaN
-3.9147,27.3143,23.112,-6.1948,28.9582,20.6487,-2.6933,29.4208,15.4003,-4.0155,29.4756,12.0213,-4.9061,29.6353,9.0757,-6.7386,30.2937,6.8762,NaN,NaN,NaN,-6.4819,30.0699,15.3128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.2945,26.5344,24.4656,NaN,NaN,NaN
-3.8069,27.3569,23.1126,-6.1166,28.8966,20.6157,-2.5495,29.1806,15.3665,-3.8681,28.8731,11.851,-4.6853,29.1083,9.0565,-6.5842,29.7032,6.7807,NaN,NaN,NaN,-6.4036,29.8402,15.239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.2015,26.5781,24.4597,NaN,NaN,NaN
-3.7113,27.3745,23.105,-6.0155,28.8317,20.5712,-2.4079,28.9113,15.3558,-3.6582,28.3631,11.7986,-4.575,28.8082,9.0399,-6.3682,29.0217,6.7183,NaN,NaN,NaN,-6.2418,29.531,15.1595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.1068,26.616,24.4495,NaN,NaN,NaN
-3.6246,27.4193,23.1128,-5.9253,28.737,20.5478,-2.3256,28.8905,15.3424,-3.5065,28.1411,11.737,-4.1941,27.8064,9.0965,-6.1376,28.3475,6.6829,NaN,NaN,NaN,-6.0577,29.166,15.0988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.0126,26.6587,24.4417,NaN,NaN,NaN
-3.5505,27.4498,23.1116,-5.8384,28.7021,20.5234,-2.1317,28.4323,15.3944,-3.3471,27.9213,11.8394,-3.991,27.2937,9.1334,-5.9001,27.7298,6.6801,NaN,NaN,NaN,-5.9198,28.9875,15.0441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.928,26.69,24.4408,NaN,NaN,NaN
-3.4592,27.4841,23.1131,-5.7444,28.622,20.5022,-1.9787,28.184,15.432,-3.196,27.274,11.7803,-3.9105,27.4439,9.0346,-5.9011,27.8297,6.6188,-7.2551,27.9072,9.3854,-5.6244,28.7062,15.0398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.8371,26.7349,24.4363,NaN,NaN,NaN
-3.3675,27.5093,23.1152,-5.6572,28.5732,20.4914,-1.8216,27.9484,15.4934,-2.9952,26.7613,11.4711,-3.5993,26.6157,9.1197,NaN,NaN,NaN,-7.0204,27.4255,9.3814,-5.6618,28.54,14.9707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.7454,26.7782,24.4315,NaN,NaN,NaN
-3.275,27.5587,23.1176,-5.554,28.5169,20.4938,-1.664,27.7188,15.5662,-2.7456,26.8644,12.0517,NaN,NaN,NaN,NaN,NaN,NaN,-6.7781,26.939,9.3981,-5.5861,28.3863,15.038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.651,26.8178,24.423,-5.849712,26.565401,24.679327
-3.1818,27.5943,23.1219,-5.471,28.4799,20.4926,-1.5014,27.5065,15.6524,-2.4547,26.2096,12.2917,-3.5465,27.5262,9.3022,NaN,NaN,NaN,-6.524,26.464,9.4473,-5.2215,27.8178,15.0123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.5642,26.8576,24.417,-5.762915,26.611337,24.676091
