Le02R_X,Le02R_Y,Le02R_Z,Mi01R_X,Mi01R_Y,Mi01R_Z,Mi02R_X,Mi02R_Y,Mi02R_Z,Mi03R_X,Mi03R_Y,Mi03R_Z,Mi04R_X,Mi04R_Y,Mi04R_Z,Mi05R_X,Mi05R_Y,Mi05R_Z,Mi06R_X,Mi06R_Y,Mi06R_Z,Mi07R_X,Mi07R_Y,Mi07R_Z,Mi08R_X,Mi08R_Y,Mi08R_Z,Mi09R_X,Mi09R_Y,Mi09R_Z,Mm01R_X,Mm01R_Y,Mm01R_Z,Mo01R_X,Mo01R_Y,Mo01R_Z,shdR_X,shdR_Y,shdR_Z,elbR_X,elbR_Y,elbR_Z,wstR_X,wstR_Y,wstR_Z,mcp3R_X,mcp3R_Y,mcp3R_Z,ip3R_X,ip3R_Y,ip3R_Z,t3R_X,t3R_Y,t3R_Z,mcp4R_X,mcp4R_Y,mcp4R_Z,ip4R_X,ip4R_Y,ip4R_Z,t4R_X,t4R_Y,t4R_Z,mcp5R_X,mcp5R_Y,mcp5R_Z,ip5R_X,ip5R_Y,ip5R_Z,t5R_X,t5R_Y,t5R_Z,hipR_X,hipR_Y,hipR_Z,ankR_X,ankR_Y,ankR_Z,str_X,str_Y,str_Z,lmb_X,lmb_Y,lmb_Z,Sj18R_X,Sj18R_Y,Sj18R_Z,Sn02R_X,Sn02R_Y,Sn02R_Z,Sn03R_X,Sn03R_Y,Sn03R_Z,Te01R_X,Te01R_Y,Te01R_Z,Te02R_X,Te02R_Y,Te02R_Z,Te03R_X,Te03R_Y,Te03R_Z,Te05R_X,Te05R_Y,Te05R_Z,Te08R_X,Te08R_Y,Te08R_Z
NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1085,30.704,22.468,0.16073,33.06,22.508,1.8675,36.697,17.767,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.4721,41.029,14.217,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-1.5187,36.945,19.38,-3.3699,37.063,20.004,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN 
NaN,NaN, NaN ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1493,30.635,22.417,0.20598,32.994,22.43,1.8331,36.543,17.57,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.4587,40.883,13.928,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.3866,39.357,16.449,-1.539,36.831,19.215,-3.3843,36.969,19.857,-5.3652,36.828,20.643,NaN,NaN, NaN ,-5.3729,29.81,25.472,3.2632,29.401,23.845,1.1041,28.745,24.364,NaN,NaN,NaN,NaN,NaN, NaN ,NaN,NaN, NaN ,-4.833242,31.727483,24.260677,-4.474543,33.933902,23.017415,-4.625912,35.557915,21.577611,-4.64062,38.441574,18.408719,-4.899541,40.267675,15.117027
2.4497,33.736,20.283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.1291,33.764,22.579,-0.27299,35.299,20.721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1981,30.593,22.395,0.24981,32.923,22.345,1.8054,36.357,17.379,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.4417,40.722,13.619,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.4092,39.168,16.191,-1.5517,36.703,19.049,-3.3951,36.865,19.707,-5.3682,36.74,20.508,-1.3331,29.022,24.67,-5.3327,29.72,25.405,3.3095,29.353,23.813,1.1542,28.699,24.329,NaN,NaN,NaN,NaN,NaN, NaN ,1.2132,34.641,20.355,-4.789458,31.816885,24.148163,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN 
2.4757,33.63,20.173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.1004,33.697,22.466,-0.25257,35.226,20.611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2235,30.56,22.388,0.27991,32.88,22.278,1.7649,36.243,17.23,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.4213,40.509,13.294,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.4301,38.97,15.926,-1.5604,36.56,18.879,-3.4027,36.733,19.543,-5.3679,36.62,20.359,-1.2814,28.962,24.633,-5.2926,29.631,25.332,3.3523,29.309,23.777,1.2049,28.654,24.297,NaN,NaN,NaN,NaN,NaN, NaN ,1.2287,34.53,20.22,NaN,NaN, NaN ,-4.418602,33.573901,22.599126,-4.589712,35.401876,21.307516,-4.711389,38.05855,17.933177,-4.929801,39.724076,14.481602
2.507,33.524,20.065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.0653,33.597,22.331,-0.22665,35.141,20.491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2759,30.476,22.346,0.32096,32.8,22.185,1.7534,36.06,17.052,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.4041,40.248,12.958,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.4442,38.739,15.65,-1.5642,36.409,18.705,-3.4062,36.583,19.369,-5.3657,36.485,20.198,-1.2297,28.903,24.592,-5.2531,29.546,25.255,3.3977,29.259,23.745,1.2544,28.609,24.261,NaN,NaN,NaN,NaN,NaN, NaN ,1.2478,34.418,20.085,-4.732645,31.499044,23.83784,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN 
2.5461,33.421,19.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.0258,33.512,22.221,-0.19134,35.046,20.361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3251,30.437,22.316,0.35954,32.725,22.092,1.7529,35.84,16.876,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.3947,39.948,12.618,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.4487,38.491,15.372,-1.5614,36.236,18.52,-3.4049,36.421,19.185,-5.3583,36.329,20.022,-1.1792,28.855,24.558,-5.2144,29.462,25.176,3.4459,29.224,23.715,1.3029,28.564,24.227,NaN,NaN,NaN,1.7994,31.519,22.374,1.2693,34.298,19.951,NaN,NaN, NaN ,-4.264963,33.211492,22.242017,-4.501647,35.089978,21.000332,-4.689953,37.714163,17.462159,-4.944408,39.115569,13.870557
2.5874,33.318,19.856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.9887,33.421,22.107,-0.15788,34.947,20.228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3665,30.373,22.275,0.39983,32.641,21.993,1.7598,35.685,16.691,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.3944,39.574,12.264,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.4481,38.224,15.089,-1.5536,36.063,18.336,-3.3973,36.246,18.992,-5.3461,36.154,19.831,-1.1324,28.804,24.518,-5.1746,29.382,25.094,3.4902,29.181,23.685,1.351,28.52,24.194,2.4616,34.813,14.783,1.8476,31.461,22.316,1.295,34.173,19.815,-4.674862,31.210831,23.633643,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN 
2.6302,33.206,19.753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.93941,33.351,22.003,-0.12719,34.836,20.086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4132,30.304,22.237,0.43551,32.551,21.885,1.781,35.503,16.523,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.3985,39.16,11.919,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.4404,37.92,14.795,-1.5371,35.878,18.144,-3.3875,36.066,18.796,-5.3309,35.97,19.633,-1.0852,28.758,24.48,-5.1341,29.3,25.01,3.5369,29.139,23.654,1.3987,28.48,24.161,2.5309,34.563,14.639,1.8922,31.39,22.254,1.3247,34.045,19.678,NaN,NaN, NaN ,-4.169768,33.073194,21.973583,-4.465652,34.934127,20.731411,-4.714733,37.249195,17.004338,-4.958638,38.50942,13.263347
2.6767,33.09,19.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.90134,33.29,21.907,-0.095675,34.714,19.937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4557,30.287,22.224,0.46898,32.46,21.765,1.8104,35.312,16.354,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.4031,38.716,11.595,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.4209,37.597,14.506,-1.5144,35.686,17.949,-3.3686,35.866,18.584,-5.3139,35.761,19.419,-1.0396,28.715,24.443,-5.0912,29.218,24.923,3.5819,29.102,23.626,1.445,28.443,24.132,2.5805,34.316,14.498,1.9299,31.291,22.176,1.3577,33.917,19.543,-4.54981,31.133136,23.476477,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN 
2.7235,32.971,19.546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.85621,33.218,21.793,-0.064543,34.574,19.778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4983,30.215,22.173,0.50712,32.375,21.649,1.8495,35.103,16.188,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.4007,38.24,11.284,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.391,37.251,14.222,-1.5137,35.57,17.786,-3.343,35.668,18.365,-5.2888,35.551,19.192,-0.99019,28.672,24.409,-5.0515,29.136,24.834,3.625,29.064,23.596,1.4915,28.4,24.098,2.6429,34.066,14.367,1.9579,31.142,22.072,1.3955,33.782,19.409,NaN,NaN, NaN ,-4.125777,33.087591,21.743212,-4.362253,34.71692,20.412302,-4.679054,36.673215,16.421909,-4.898174,37.768547,12.662661
