Le02R_X,Le02R_Y,Le02R_Z,Mi05R_X,Mi05R_Y,Mi05R_Z,Mo01R_X,Mo01R_Y,Mo01R_Z,shdR_X,shdR_Y,shdR_Z,elbR_X,elbR_Y,elbR_Z,wstR_X,wstR_Y,wstR_Z,mcp3R_X,mcp3R_Y,mcp3R_Z,ip3R_X,ip3R_Y,ip3R_Z,t3R_X,t3R_Y,t3R_Z,mcp4R_X,mcp4R_Y,mcp4R_Z,ip4R_X,ip4R_Y,ip4R_Z,t4R_X,t4R_Y,t4R_Z,mcp5R_X,mcp5R_Y,mcp5R_Z,ip5R_X,ip5R_Y,ip5R_Z,t5R_X,t5R_Y,t5R_Z,hipR_X,hipR_Y,hipR_Z,ankR_X,ankR_Y,ankR_Z,str_X,str_Y,str_Z,lmb_X,lmb_Y,lmb_Z,Sj18R_X,Sj18R_Y,Sj18R_Z,Sn02R_X,Sn02R_Y,Sn02R_Z,Sn03R_X,Sn03R_Y,Sn03R_Z,Te01R_X,Te01R_Y,Te01R_Z,Te02R_X,Te02R_Y,Te02R_Z,Te03R_X,Te03R_Y,Te03R_Z,Te05R_X,Te05R_Y,Te05R_Z,Te08R_X,Te08R_Y,Te08R_Z
NaN,NaN, NaN ,NaN,NaN, NaN ,4.369212,19.146775,9.025132,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN 
NaN,NaN, NaN ,-2.126703,22.347344,13.719114,NaN,NaN,NaN,1.7713,23.427,16.678,-0.33781,23.53,14.51,4.979,21.796,11.865,5.1747,18.494,9.5662,5.5872,15.999,7.9989,4.213535,13.886828,5.611262,4.0156,19.12,9.4329,3.4708,17.517,7.9969,2.0106,16.015,6.8325,1.7207,20.614,10.442,0.036588,19.872,9.7442,-1.8952,18.954,9.3744,-2.9743,22.645,18.512,-6.0881,21.385,17.68,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-4.912003,21.320359,15.514326,NaN,NaN, NaN ,NaN,NaN, NaN ,0.670253,17.776134,8.090053,3.627647,15.273961,6.468131
2.9089,23.509,14.358,NaN,NaN, NaN ,NaN,NaN,NaN,1.8299,23.445,16.668,-0.2966,23.548,14.53,5.1019,21.875,12.034,5.3691,18.506,9.846,5.8443,15.928,8.3887,NaN,NaN, NaN ,4.2047,19.106,9.6787,3.7062,17.451,8.2963,2.2824,15.854,7.1695,1.8764,20.576,10.607,0.22149,19.776,9.9144,-1.6839,18.773,9.5497,-2.9132,22.668,18.5,-6.0279,21.407,17.68,1.5474,22.611,17.898,-0.63877,22.393,18.321,NaN,NaN, NaN ,0.74771,23.671,15.979,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN 
2.9561,23.568,14.413,-1.927676,22.324595,13.794447,NaN,NaN,NaN,1.8864,23.462,16.65,-0.25782,23.567,14.548,5.2181,21.973,12.199,5.5656,18.545,10.127,6.0924,15.92,8.7642,4.854856,13.518075,6.543418,4.3924,19.146,9.9283,3.9346,17.385,8.5985,2.5473,15.737,7.509,2.0305,20.545,10.776,0.40876,19.673,10.092,-1.4878,18.662,9.7244,-2.8502,22.688,18.483,-5.969,21.436,17.679,1.6048,22.64,17.886,-0.57822,22.417,18.307,7.02727,20.876598,13.262946,0.80054,23.692,15.98,2.2264,23.238,13.405,-4.79303,21.306413,15.565977,-3.1281,20.791,13.231,-1.9651,19.877,11.229,1.129546,17.534867,8.640273,4.149279,15.132798,7.198123
3.0004,23.626,14.464,NaN,NaN, NaN ,NaN,NaN,NaN,1.9467,23.487,16.644,-0.21863,23.564,14.564,5.3232,22.077,12.361,5.7541,18.619,10.41,6.3395,15.919,9.1488,NaN,NaN, NaN ,4.5716,19.181,10.177,4.1609,17.354,8.9063,2.8125,15.592,7.8659,2.1784,20.54,10.943,0.52394,19.49,10.278,-1.2872,18.537,9.9031,-2.7884,22.703,18.476,-5.9133,21.472,17.676,1.6635,22.66,17.869,-0.51785,22.443,18.293,7.124832,21.063642,13.533954,0.85332,23.714,15.98,2.2895,23.297,13.476,NaN,NaN, NaN ,-3.0082,20.762,13.316,-1.7919,19.793,11.364,1.390863,17.313804,8.896039,4.3342,14.907,7.6072
3.0408,23.691,14.511,-1.758865,22.242518,13.871363,NaN,NaN,NaN,2.0059,23.515,16.633,-0.17988,23.602,14.576,5.395,22.038,12.534,5.9312,18.694,10.676,6.5772,15.96,9.529,5.371276,13.322307,7.461987,4.7352,19.186,10.414,4.375,17.338,9.2061,3.0552,15.583,8.2022,2.2747,20.409,11.121,0.69595,19.456,10.45,-1.1048,18.462,10.08,-2.7313,22.731,18.462,-5.8588,21.507,17.67,1.7229,22.683,17.854,-0.45609,22.463,18.279,7.256731,21.380372,13.669553,0.90701,23.738,15.976,2.3444,23.357,13.544,-4.548805,20.972724,15.634668,-2.8708,20.576,13.417,-1.6805,19.603,11.512,NaN,NaN, NaN ,4.633598,14.819764,7.963576
3.0787,23.767,14.555,NaN,NaN, NaN ,NaN,NaN,NaN,2.0682,23.523,16.611,-0.14479,23.643,14.586,5.4881,22.176,12.683,6.1031,18.787,10.944,6.8075,16.007,9.9104,NaN,NaN, NaN ,4.9104,19.313,10.653,4.5925,17.312,9.5401,3.3097,15.472,8.5689,2.4153,20.44,11.283,0.85864,19.441,10.618,-0.96398,18.414,10.256,-2.6665,22.738,18.45,-5.8089,21.55,17.663,1.7831,22.7,17.84,-0.39334,22.477,18.265,NaN,NaN, NaN ,0.96184,23.761,15.971,2.3949,23.43,13.607,NaN,NaN, NaN ,NaN,NaN, NaN ,-1.522,19.568,11.649,1.787917,17.378889,9.45157,NaN,NaN, NaN 
3.1148,23.84,14.589,-1.624889,22.301774,13.944421,NaN,NaN,NaN,2.1271,23.558,16.603,-0.10663,23.672,14.595,5.5787,22.324,12.825,6.2691,18.92,11.198,7.0284,16.092,10.274,5.866231,13.36826,8.386426,5.0666,19.394,10.891,4.7867,17.373,9.8123,3.5447,15.486,8.9111,2.5468,20.508,11.44,1.018,19.439,10.788,-0.78619,18.393,10.429,-2.6042,22.753,18.435,-5.7592,21.593,17.655,1.846,22.712,17.821,-0.32829,22.494,18.251,7.420373,21.661482,14.047509,1.0177,23.787,15.961,2.4262,23.429,13.673,NaN,NaN, NaN ,-2.7118,20.665,13.579,-1.3673,19.541,11.784,NaN,NaN, NaN ,5.192531,14.817769,8.827198
3.1451,23.891,14.625,NaN,NaN, NaN ,NaN,NaN,NaN,2.1898,23.583,16.585,-0.074058,23.713,14.601,5.6603,22.496,12.96,6.4165,19.045,11.448,7.2365,16.226,10.649,NaN,NaN, NaN ,5.2139,19.514,11.117,4.9995,17.471,10.126,3.7702,15.48,9.2635,2.6726,20.576,11.595,1.1693,19.463,10.952,-0.61404,18.385,10.597,-2.5433,22.759,18.423,-5.7133,21.646,17.647,1.9108,22.732,17.807,-0.26349,22.505,18.235,NaN,NaN, NaN ,1.0752,23.812,15.95,2.4682,23.537,13.726,NaN,NaN, NaN ,NaN,NaN, NaN ,-1.2151,19.52,11.921,2.214921,17.108371,9.976063,NaN,NaN, NaN 
3.1469,23.903,14.66,NaN,NaN, NaN ,NaN,NaN,NaN,2.2566,23.604,16.569,-0.043445,23.777,14.606,5.7347,22.672,13.083,6.5621,19.175,11.686,7.4324,16.363,11.016,NaN,NaN, NaN ,5.3501,19.661,11.337,5.1739,17.54,10.455,3.9909,15.503,9.5922,2.7912,20.668,11.744,1.3121,19.5,11.112,-0.44096,18.361,10.772,-2.4832,22.776,18.413,-5.668,21.696,17.638,1.9784,22.743,17.793,-0.19673,22.513,18.22,7.581307,22.191914,14.335741,1.1325,23.839,15.939,2.5117,23.64,13.778,NaN,NaN, NaN ,NaN,NaN, NaN ,-1.0705,19.521,12.055,NaN,NaN, NaN ,5.621606,14.797685,9.596945
3.1741,24.006,14.686,NaN,NaN, NaN ,NaN,NaN,NaN,2.3261,23.616,16.546,-0.016695,23.817,14.614,5.8004,22.85,13.201,6.6736,19.444,11.904,7.612,16.489,11.348,NaN,NaN, NaN ,5.4803,19.795,11.554,5.3446,17.705,10.726,4.1997,15.524,9.9459,2.9026,20.755,11.89,1.4496,19.555,11.269,-0.28274,18.39,10.943,-2.4245,22.788,18.401,-5.6262,21.746,17.628,2.0453,22.748,17.774,-0.13082,22.518,18.205,NaN,NaN, NaN ,1.1876,23.872,15.927,2.5514,23.754,13.825,NaN,NaN, NaN ,NaN,NaN, NaN ,-0.92682,19.514,12.19,NaN,NaN, NaN ,NaN,NaN, NaN 
3.2007,24.093,14.708,NaN,NaN, NaN ,NaN,NaN,NaN,2.3912,23.63,16.524,-0.025251,23.87,14.62,5.8597,23.046,13.307,6.8153,19.529,12.12,7.769,16.67,11.677,NaN,NaN, NaN ,5.59,19.961,11.761,5.5016,17.955,11,4.4176,15.661,10.245,3.0056,20.872,12.027,1.5804,19.616,11.419,-0.12626,18.412,11.099,-2.3609,22.817,18.395,-5.5867,21.804,17.618,2.1133,22.76,17.758,-0.064012,22.518,18.188,7.734139,22.516929,14.630805,1.2426,23.902,15.912,2.5865,23.868,13.873,NaN,NaN, NaN ,NaN,NaN, NaN ,-0.79635,19.549,12.317,NaN,NaN, NaN ,6.001373,15.253588,10.259083
3.2278,24.197,14.73,NaN,NaN, NaN ,NaN,NaN,NaN,2.458,23.662,16.51,0.004277,23.942,14.629,5.9148,23.245,13.404,6.9272,19.694,12.315,7.9087,16.823,12.004,NaN,NaN, NaN ,5.6887,20.164,11.946,5.6479,18.115,11.263,4.5686,15.567,10.623,3.0992,21.006,12.159,1.6921,19.724,11.565,0.016721,18.482,11.253,-2.3004,22.836,18.386,-5.5486,21.864,17.608,2.1843,22.76,17.738,0.004481,22.516,18.171,NaN,NaN, NaN ,1.299,23.927,15.895,2.6153,24.005,13.918,NaN,NaN, NaN ,NaN,NaN, NaN ,-0.66979,19.576,12.444,NaN,NaN, NaN ,NaN,NaN, NaN 
3.2517,24.303,14.747,-1.156125,22.37827,14.292508,NaN,NaN,NaN,2.5203,23.676,16.482,0.03115,24.015,14.639,5.961,23.446,13.493,7.0297,19.85,12.501,8.0503,16.96,12.272,NaN,NaN, NaN ,5.7848,20.349,12.131,5.7942,18.343,11.534,NaN,NaN, NaN ,3.1804,21.141,12.284,1.8013,19.84,11.703,0.1543,18.537,11.405,-2.2422,22.842,18.373,-5.5116,21.926,17.597,2.2533,22.765,17.721,0.072063,22.517,18.154,7.766843,23.176767,14.84363,1.354,23.96,15.88,2.6413,24.136,13.963,NaN,NaN, NaN ,NaN,NaN, NaN ,-0.55763,19.656,12.56,NaN,NaN, NaN ,NaN,NaN, NaN 
3.2762,24.425,14.766,NaN,NaN, NaN ,NaN,NaN,NaN,2.5834,23.702,16.466,0.055876,24.096,14.652,6.0047,23.677,13.58,7.1201,20.035,12.668,8.1688,17.155,12.543,NaN,NaN, NaN ,5.8651,20.546,12.291,5.9749,18.793,11.804,4.8402,15.868,11.266,3.2587,21.315,12.403,1.9026,19.951,11.837,0.27858,18.639,11.547,-2.1841,22.836,18.356,-5.4753,21.991,17.586,2.3241,22.762,17.701,0.14205,22.511,18.136,7.846324,23.43854,14.965375,1.41,23.991,15.864,2.6703,24.269,14.01,NaN,NaN, NaN ,NaN,NaN, NaN ,-0.44879,19.73,12.672,3.11568,17.876395,11.403176,NaN,NaN, NaN 
3.2994,24.545,14.785,NaN,NaN, NaN ,NaN,NaN,NaN,2.6577,23.714,16.439,0.083547,24.153,14.672,6.0401,23.898,13.656,7.1871,20.247,12.823,8.2598,17.408,12.782,NaN,NaN, NaN ,5.9155,20.791,12.476,6.0977,18.945,12.015,4.9319,16.047,11.566,3.328,21.481,12.518,1.9901,20.101,11.965,0.39589,18.717,11.703,-2.1156,22.842,18.342,-5.4394,22.056,17.575,2.3964,22.76,17.681,0.2113,22.506,18.117,7.899308,23.764233,15.007413,1.466,24.022,15.847,2.6944,24.408,14.06,NaN,NaN, NaN ,NaN,NaN, NaN ,-0.33945,19.778,12.798,NaN,NaN, NaN ,6.634826,15.761176,11.683002
3.3209,24.653,14.808,NaN,NaN, NaN ,NaN,NaN,NaN,2.7183,23.737,16.422,0.11082,24.22,14.697,6.072,24.104,13.731,7.2601,20.441,12.954,8.3648,17.652,12.983,NaN,NaN, NaN ,5.9806,21.039,12.613,6.1972,18.938,12.252,5.0667,16.242,11.913,3.3858,21.678,12.624,2.0727,20.253,12.09,0.4917,18.897,11.835,-2.0541,22.851,18.334,-5.4031,22.124,17.564,2.4675,22.761,17.665,0.28335,22.495,18.099,NaN,NaN, NaN ,1.5215,24.053,15.834,2.7152,24.548,14.112,NaN,NaN, NaN ,NaN,NaN, NaN ,-0.23751,19.893,12.911,NaN,NaN, NaN ,NaN,NaN, NaN 
3.3362,24.8,14.836,-0.899011,22.902685,14.492109,NaN,NaN,NaN,2.7903,23.739,16.394,0.13756,24.291,14.721,6.0982,24.351,13.795,7.3078,20.716,13.042,8.4495,17.869,13.158,7.578831,14.984159,12.275508,6.0329,21.265,12.726,6.206,18.949,12.448,5.1228,16.481,12.151,3.4388,21.865,12.728,2.1369,20.425,12.207,0.59057,18.809,11.921,-1.9952,22.871,18.324,-5.3669,22.197,17.553,2.5364,22.75,17.641,0.3538,22.485,18.079,7.922706,24.178477,15.202315,1.5749,24.088,15.816,2.7344,24.69,14.165,NaN,NaN, NaN ,NaN,NaN, NaN ,-0.1379,20.003,13.036,NaN,NaN, NaN ,NaN,NaN, NaN 
