Le01R_X,Le01R_Y,Le01R_Z,Le02R_X,Le02R_Y,Le02R_Z,Le03R_X,Le03R_Y,Le03R_Z,Mf01R_X,Mf01R_Y,Mf01R_Z,Mf02R_X,Mf02R_Y,Mf02R_Z,Mf03R_X,Mf03R_Y,Mf03R_Z,Mi01R_X,Mi01R_Y,Mi01R_Z,Mi02R_X,Mi02R_Y,Mi02R_Z,Mi03R_X,Mi03R_Y,Mi03R_Z,Mi04R_X,Mi04R_Y,Mi04R_Z,Mi05R_X,Mi05R_Y,Mi05R_Z,Mi06R_X,Mi06R_Y,Mi06R_Z,Mi07R_X,Mi07R_Y,Mi07R_Z,Mi08R_X,Mi08R_Y,Mi08R_Z,Mi09R_X,Mi09R_Y,Mi09R_Z,Mm01R_X,Mm01R_Y,Mm01R_Z,Mm02R_X,Mm02R_Y,Mm02R_Z,Mm03R_X,Mm03R_Y,Mm03R_Z,Mo01R_X,Mo01R_Y,Mo01R_Z,Mo02R_X,Mo02R_Y,Mo02R_Z,Mo03R_X,Mo03R_Y,Mo03R_Z,shdR_X,shdR_Y,shdR_Z,elbR_X,elbR_Y,elbR_Z,wstR_X,wstR_Y,wstR_Z,mcp3R_X,mcp3R_Y,mcp3R_Z,ip3R_X,ip3R_Y,ip3R_Z,t3R_X,t3R_Y,t3R_Z,mcp4R_X,mcp4R_Y,mcp4R_Z,ip4R_X,ip4R_Y,ip4R_Z,t4R_X,t4R_Y,t4R_Z,mcp5R_X,mcp5R_Y,mcp5R_Z,ip5R_X,ip5R_Y,ip5R_Z,t5R_X,t5R_Y,t5R_Z,hipR_X,hipR_Y,hipR_Z,kneeR_X,kneeR_Y,kneeR_Z,ankR_X,ankR_Y,ankR_Z,str_X,str_Y,str_Z,lmb_X,lmb_Y,lmb_Z,Sj18R_X,Sj18R_Y,Sj18R_Z,Sj19R_X,Sj19R_Y,Sj19R_Z,Sn02R_X,Sn02R_Y,Sn02R_Z,Sn03R_X,Sn03R_Y,Sn03R_Z,Sn04R_X,Sn04R_Y,Sn04R_Z,Sn05R_X,Sn05R_Y,Sn05R_Z,Sn06R_X,Sn06R_Y,Sn06R_Z,Te01R_X,Te01R_Y,Te01R_Z,Te02R_X,Te02R_Y,Te02R_Z,Te03R_X,Te03R_Y,Te03R_Z,Te04R_X,Te04R_Y,Te04R_Z,Te05R_X,Te05R_Y,Te05R_Z,Te06R_X,Te06R_Y,Te06R_Z,Te07R_X,Te07R_Y,Te07R_Z,Te08R_X,Te08R_Y,Te08R_Z,Te09R_X,Te09R_Y,Te09R_Z
2.0307,16.7246,9.6242,NaN,NaN,NaN,2.0223,18.6932,6.0361,0.5424,17.2771,9.0754,1.2087,17.7914,8.3083,1.3068,17.0987,9.428,-0.9601,16.4787,10.1427,-3.2176,15.8848,10.0835,-4.5474,15.2952,9.6818,-4.4072,17.2805,8.2025,NaN,NaN, NaN ,-2.2025,17.5848,8.7506,-1.0434,19.1249,7.0677,-2.4771,19.3771,6.6451,-3.9375,19.2534,6.5001,-1.5642,20.9152,3.2575,-3.2051,21.1377,3.2108,-2.6418,21.1485,1.8244,-0.4237,20.8706,1.5896,-1.8726,21.3768,-0.1433,-1.3619,21.31,-0.8987,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-4.0725,13.9668,10.5373,NaN,NaN, NaN ,1.8678,14.1463,12.4279,-0.267,12.9945,11.9903,3.3907,18.8017,2.9181,2.3885,19.7267,3.7579,NaN,NaN, NaN ,NaN,NaN, NaN ,0.0618,20.0206,4.6161,0.4009,20.6629,3.1604,0.9695,20.3273,2.4955,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-5.0466,20.2061,3.5575,NaN,NaN, NaN ,-4.3554,21.1048,1.0126,-3.9027,21.5709,-0.6804,NaN,NaN, NaN ,-3.0923,22.645,-2.4601
2.1016,16.7501,9.6245,1.9696,17.7612,7.856,2.1561,18.6206,5.988,0.6277,17.4328,9.0573,1.303,17.7849,8.2728,1.3804,17.1118,9.4071,-0.8979,16.528,10.1053,-3.1361,15.9205,10.0178,-4.4459,15.2949,9.6058,-4.3234,17.3005,8.1134,-3.2145,17.5493,8.4516,-2.117,17.5908,8.6582,-0.9304,19.0991,6.9598,-2.3608,19.3233,6.4986,-3.8224,19.2077,6.3313,-1.3322,20.4543,3.0818,-3.0776,20.5401,2.9908,-2.4239,20.9426,1.5967,-0.1984,20.6636,1.4229,-1.608,21.1104,-0.3596,NaN,NaN,NaN,2.177,15.1517,10.8054,-0.6469,16.9858,9.1242,2.0175,19.7321,4.07,0.404754,20.09638,0.865969,-0.746799,20.655964,-1.725265,-2.969075,21.896777,-3.48372,-0.562969,20.565905,1.95943,-2.1075,21.0424,0.4675,-4.2023,21.0318,-0.5173,-1.7013,19.6752,4.4133,-3.7373,19.8798,4.3716,-5.7721,19.4851,4.4664,-3.9257,14.1912,10.6121,-4.0213,13.9829,10.5329,-6.524429,13.105639,9.897825,1.9255,14.2253,12.4565,-0.2113,13.0613,12.0265,3.5995,18.6216,2.8794,2.5571,19.5834,3.6839,0.6719,15.817,10.1404,0.6828,18.3841,7.1652,0.2131,19.8927,4.4816,0.59,20.3413,3.046,1.169,20.1499,2.3748,-5.7887,15.2533,9.0367,-5.1769,17.1742,7.676,-5.2123,18.7945,6.1165,-4.861,20.0441,3.313,-4.2975,20.5218,2.0096,-4.1129,20.8483,0.7424,-3.6167,21.2676,-0.95,-3.0639,21.5868,-1.8514,-2.7175,21.7878,-2.72
2.1724,16.7873,9.6323,2.0777,17.7409,7.8347,2.293,18.5414,5.9443,0.7145,17.4445,9.0153,1.3992,17.7714,8.238,1.4555,17.128,9.3915,-0.8233,16.5627,10.0569,-3.0285,15.9024,9.933,-4.353,15.2973,9.5327,-4.2406,17.3467,8.0453,-3.1307,17.6325,8.385,-2.0286,17.6117,8.5782,-0.8169,19.0332,6.8357,-2.2366,19.2613,6.3518,-3.6868,19.1256,6.1456,-1.1402,20.283,2.9108,-2.8738,20.3604,2.7864,-2.1941,20.735,1.3876,0.0332,20.4652,1.2681,-1.3362,20.8403,-0.5555,-0.7816,20.7114,-1.2815,2.2266,15.2095,10.8388,-0.5184,16.8722,9.0808,2.1847,19.6037,3.9963,0.556675,20.081593,0.747364,-0.397144,20.375427,-1.881518,-2.645397,21.541261,-3.743064,-0.344806,20.434684,1.77875,-1.8525,20.7919,0.2588,-3.9319,20.7081,-0.7756,-1.5294,19.5498,4.26,-3.5326,19.5196,4.1675,-5.6102,19.3327,4.234,-3.7328,14.274,10.5824,-3.92,14.1132,10.5542,-6.431989,13.052366,9.911673,1.86025019,13.99244165,12.31464191,-0.17256532,13.15035522,12.07165383,3.8578,18.2537,2.7358,2.735,19.4647,3.6411,0.7338,15.8665,10.1442,0.7986,18.3358,7.0962,0.3798,19.7781,4.3607,0.7831,20.1743,2.9175,1.3846,19.9663,2.2645,-5.6948,15.2589,8.9632,-5.0976,17.2255,7.5906,-5.1023,18.7554,5.9428,-4.6628,19.8681,3.0784,-4.0763,20.3101,1.7661,-3.8595,20.5855,0.4902,-3.3237,20.9574,-1.199,-2.8434,21.4187,-2.0757,-2.4001,21.4693,-2.992
2.2452,16.8137,9.6376,2.1886,17.7232,7.8106,2.4376,18.4705,5.9088,0.8026,17.4511,8.9757,1.4969,17.7628,8.2042,1.5317,17.1583,9.375,-0.7551,16.5993,10.0148,-2.9387,15.9217,9.8629,-4.2612,15.3095,9.4591,-4.1681,17.3994,7.9719,-3.0469,17.7158,8.3183,-1.9422,17.63,8.5013,-0.695,18.946,6.7081,-2.1005,19.1979,6.1987,-3.5457,19.0459,5.9663,-0.9394,20.1409,2.7511,-2.6624,20.1813,2.5802,-1.9469,20.5288,1.1931,0.2856,20.2426,1.1253,-1.0489,20.5582,-0.736,-0.475,20.4141,-1.454,2.2764,15.2788,10.8706,-0.4628,16.8811,9.0331,2.3669,19.4578,3.931,0.822882,19.857609,0.619148,-0.083185,20.074213,-2.030578,-2.338528,21.180786,-3.970568,-0.105532,20.236753,1.631718,-1.584,20.5443,0.0737,-3.6148,20.3721,-1.0291,-1.3438,19.4125,4.1094,-3.3574,19.426,3.9698,-5.4434,19.1956,4.0265,-3.6584,14.2728,10.589,-3.8058,14.2578,10.5767,-6.306991,13.117978,9.858479,1.91422262,14.07134869,12.33966703,-0.11672372,13.22424707,12.11381808,4.0639,18.0738,2.7341,2.9313,19.3031,3.5891,0.8046,15.9116,10.1435,0.9163,18.2837,7.0354,0.5544,19.6423,4.241,0.9965,20.0036,2.8036,1.6041,19.7771,2.1655,-5.5929,15.2491,8.8714,-5.0235,17.2604,7.5098,-4.9784,18.7053,5.7646,-4.4559,19.7,2.8458,-3.8343,20.0918,1.5358,-3.5865,20.3141,0.2571,-3.1116,20.8154,-1.4059,-2.5285,21.0939,-2.2996,-2.063,21.0649,-3.2167
2.319,16.8487,9.6428,2.2984,17.7078,7.8012,2.5888,18.3835,5.8792,0.8885,17.4534,8.9402,1.5994,17.7477,8.1773,1.6142,17.175,9.3614,-0.6832,16.6469,9.9777,-2.8582,15.9393,9.7852,-4.1751,15.3137,9.3948,-4.0854,17.4229,7.8836,-2.9476,17.6717,8.2214,-1.8541,17.6447,8.4227,-0.5629,18.848,6.587,-1.9583,19.1124,6.0491,-3.4441,19.0466,5.8203,-0.704,19.9479,2.5975,-2.4356,19.9898,2.3877,-1.6968,20.318,1.0157,0.5435,20.0272,1.0049,-0.7504,20.2778,-0.8992,-0.1646,20.1281,-1.5978,2.3286,15.3429,10.9002,-0.3642,16.8423,8.9991,2.5592,19.3233,3.873,1.084745,19.622348,0.513926,0.244662,19.774017,-2.167677,-1.95163,20.700237,-4.153412,0.137454,20.036263,1.498863,-1.3088,20.3054,-0.0992,-3.3061,20.0623,-1.2334,-1.1486,19.2595,3.9676,-3.17,19.247,3.7882,-5.2351,19.0376,3.7943,-3.7295,14.3461,10.6376,-3.7346,14.3056,10.5815,-6.194507,13.048113,9.809716,1.96540075,14.14976931,12.3779393,-0.05848099,13.30579894,12.14563718,4.2215,18.0399,2.7807,3.1308,19.1545,3.5532,0.8778,15.9547,10.1365,1.0469,18.2386,6.9776,0.7426,19.4997,4.1283,1.2138,19.8329,2.6974,1.8395,19.5875,2.0835,-5.4842,15.2181,8.7771,-4.9449,17.2799,7.4186,-4.8307,18.6228,5.5707,-4.233,19.5124,2.6239,-3.5828,19.881,1.3218,-3.3129,20.0517,0.0433,-2.8051,20.4965,-1.6165,-2.1974,20.7667,-2.508,-1.8213,20.8757,-3.3959
2.3954,16.8823,9.651,2.4131,17.6844,7.7868,2.7473,18.3038,5.8562,0.9751,17.4607,8.9087,1.707,17.7267,8.1468,1.6982,17.1897,9.3478,-0.6437,16.7523,9.9616,-2.7689,15.9386,9.7262,-4.0945,15.3364,9.3432,-3.9873,17.4237,7.7782,-2.8579,17.6948,8.1136,-1.7547,17.6659,8.3455,-0.4228,18.7616,6.4789,-1.8066,19.0161,5.9023,-3.2327,18.8312,5.5992,-0.4713,19.7775,2.4664,-2.197,19.7862,2.2134,-1.426,20.0811,0.8488,0.8114,19.807,0.8904,-0.4417,20.0077,-1.0406,0.1637,19.8282,-1.7222,2.3786,15.4078,10.9349,-0.2613,16.8315,8.9652,2.7563,19.1828,3.8226,1.36479,19.401788,0.431974,0.57989,19.461113,-2.275808,-1.569882,20.312776,-4.360387,0.393473,19.81853,1.372698,-1.0173,20.0275,-0.2605,-3.0005,19.8175,-1.4,-0.9416,19.1029,3.8279,-2.9347,19.0736,3.6051,-5.0218,18.8507,3.5575,-3.6643,14.2963,10.5766,-3.6857,14.3118,10.5795,-6.15523,13.139831,9.79549,2.01698114,14.2362328,12.40886805,-0.01098449,13.37476846,12.1848774,4.4977,17.8257,2.799,3.3792,18.7167,3.6957,0.9464,16.0125,10.1251,1.182,18.1864,6.9263,0.9357,19.3591,4.0308,1.4433,19.6542,2.6098,2.0804,19.3969,2.0105,-5.388,15.2092,8.6995,-4.8508,17.2882,7.3146,-4.6666,18.4976,5.3667,-3.998,19.3316,2.418,-3.4093,19.8097,1.1552,-3.1137,19.9602,-0.121,-2.4826,20.1721,-1.81,-1.8573,20.3979,-2.6948,-1.4692,20.5014,-3.5771
2.4705,16.9177,9.6639,2.5327,17.6604,7.776,2.9116,18.2328,5.8446,1.0705,17.4716,8.8736,1.8209,17.7209,8.1266,1.78,17.2097,9.3353,-0.575,16.7894,9.9228,-2.6903,15.9562,9.6917,-4.0238,15.372,9.31,-3.8641,17.3929,7.6604,-2.7681,17.7177,8.0059,-1.6489,17.6642,8.2641,-0.2728,18.6861,6.3766,-1.6437,18.9055,5.7615,-3.1134,18.8209,5.4655,-0.2287,19.5989,2.337,-1.9511,19.5949,2.0471,-1.1523,19.8522,0.6939,1.0828,19.5836,0.7952,-0.1206,19.7315,-1.1701,0.4986,19.5412,-1.8296,2.43,15.4751,10.9648,-0.1668,16.8318,8.9216,2.9731,19.0273,3.7863,1.659618,19.178727,0.356444,0.934721,19.163339,-2.365281,-1.209646,19.903151,-4.515349,0.65097,19.611902,1.272189,-0.7139,19.7634,-0.4006,-2.6688,19.443,-1.5918,-0.7292,18.941,3.7068,-2.7001,18.9007,3.4224,-4.7678,18.7312,3.3589,-3.5537,14.2822,10.5668,-3.5794,14.4507,10.6058,-6.049771,13.157582,9.792781,2.07238532,14.3213415,12.44081155,0.03767478,13.44914313,12.21895315,4.7452,17.6121,2.7993,3.5858,18.5823,3.6879,1.0151,16.0536,10.1141,1.3197,18.1302,6.8777,1.1418,19.2059,3.9424,1.6808,19.4751,2.5312,2.3325,19.2071,1.9515,-5.2968,15.2142,8.6354,-4.7368,17.2728,7.1886,-4.4831,18.3616,5.1697,-3.8302,19.2163,2.1938,-3.1394,19.5812,0.9637,-2.8114,19.7039,-0.3066,-2.1405,19.8373,-1.9905,-1.5043,20.0398,-2.859,-1.0966,20.1477,-3.7347
2.5487,16.9388,9.6718,2.6549,17.6325,7.7742,3.0803,18.1409,5.8335,1.1701,17.4706,8.8428,1.9339,17.7079,8.1077,1.8684,17.2264,9.3275,-0.5041,16.8264,9.8919,-2.6204,16.0029,9.6699,-3.9572,15.4029,9.2904,-3.7368,17.3381,7.5289,-2.642,17.6613,7.9051,-1.5368,17.6319,8.1745,-0.1151,18.5977,6.287,-1.4707,18.7879,5.6297,-2.8742,18.5763,5.2623,0.0179,19.41,2.2281,-1.6932,19.4034,1.8999,-0.8608,19.6014,0.5564,1.3717,19.3667,0.7153,0.2092,19.4538,-1.2808,0.8479,19.2407,-1.9319,2.4791,15.5562,10.9977,-0.0695,16.8423,8.8737,3.1639,18.9698,3.815,1.946834,18.940251,0.301237,1.286278,18.858005,-2.444742,-0.811558,19.480743,-4.637145,0.934101,19.387031,1.180292,-0.4029,19.5067,-0.5276,-2.3446,19.1333,-1.745,-0.5026,18.7683,3.5867,-2.466,18.7281,3.2402,-4.498,18.4848,3.1337,-3.5525,14.3628,10.5777,-3.5195,14.5031,10.6165,-5.970269,13.094394,9.68876,2.12107643,14.38893693,12.47272926,0.08695408,13.5260377,12.25324521,5.0057,17.2682,2.9209,3.7786,18.7072,3.5027,1.0872,16.0795,10.1139,1.4612,18.0702,6.8372,1.3539,19.0614,3.8597,1.927,19.3047,2.4635,2.5902,19.0117,1.9093,-5.2062,15.2103,8.5886,-4.6025,17.2131,7.0419,-4.2929,18.2144,4.9792,-3.581,19.0548,2.0613,-2.8578,19.3528,0.7891,-2.5047,19.4443,-0.4793,-1.7857,19.5267,-2.1538,-1.1221,19.7068,-3.0094,-0.7158,19.7761,-3.8742
2.6271,16.983,9.6902,2.7767,17.6081,7.7747,3.2505,18.0585,5.8368,1.2677,17.4788,8.8153,2.0502,17.6923,8.0915,1.9544,17.2554,9.3244,-0.4285,16.8599,9.856,-2.5704,16.0579,9.6515,-3.9042,15.4594,9.2863,-3.6025,17.2671,7.3962,-2.543,17.6171,7.8083,-1.418,17.5842,8.0754,0.0479,18.5233,6.204,-1.2904,18.6647,5.5054,-2.6833,18.4432,5.1109,0.2814,19.2143,2.1271,-1.4237,19.2012,1.7583,-0.5558,19.3726,0.4346,1.6673,19.1455,0.6486,0.5501,19.1856,-1.3765,1.1965,18.9653,-2.0012,2.5299,15.6332,11.0317,0.0283,16.8588,8.8276,3.3819,18.8276,3.8083,2.25637,18.701444,0.258858,1.649049,18.565436,-2.496657,-0.394164,19.207166,-4.780435,1.2166,19.188599,1.100513,-0.0811,19.2463,-0.6408,-1.974,18.8307,-1.8997,-0.2857,18.6016,3.483,-2.2293,18.552,3.1103,-4.2527,18.2477,2.9647,-3.4999,14.432,10.6179,-3.4477,14.5886,10.6316,-5.8265,13.1682,9.7222,2.16754173,14.46976319,12.49736077,0.13537664,13.59545843,12.28879586,5.2685,17.0978,2.9806,4.0039,18.562,3.5147,1.1598,16.1181,10.122,1.6115,18.0149,6.8009,1.5756,18.912,3.7934,2.1799,19.116,2.4076,2.8533,18.8162,1.8774,-5.1154,15.216,8.5501,-4.4526,17.1239,6.8906,-4.0933,18.0783,4.8033,-3.3122,18.8335,1.8816,-2.5628,19.0953,0.6306,-2.1809,19.1641,-0.6348,-1.4231,19.2367,-2.296,-0.7421,19.3857,-3.137,-0.3251,19.4528,-3.999
NaN,NaN,NaN,2.9039,17.5877,7.7814,3.4258,17.9823,5.845,1.3679,17.4808,8.7894,2.1694,17.6857,8.0797,2.0434,17.2817,9.3241,-0.3558,16.896,9.8219,-2.514,16.1225,9.6403,-3.8546,15.5157,9.2922,-3.4609,17.1804,7.2682,-2.4171,17.5608,7.7076,-1.2915,17.5267,7.9828,0.2133,18.4649,6.1365,-1.1033,18.5402,5.3913,-2.4817,18.2982,4.9665,0.5456,19.0149,2.0368,-1.1525,18.9925,1.6349,-0.2538,19.1452,0.3205,1.9693,18.9234,0.591,0.8986,18.9061,-1.457,1.5634,18.6763,-2.0584,2.5779,15.6945,11.0651,0.1312,16.8664,8.7927,3.6307,18.599,3.7516,2.564727,18.472608,0.223594,2.025334,18.252037,-2.538501,0.014913,18.844699,-4.875814,1.505261,18.959861,1.030137,0.2508,18.987,-0.7335,-1.5571,18.5351,-2.0557,-0.1343,18.5852,3.4143,-1.9931,18.3763,2.9808,-4.0443,18.0879,2.7871,-3.4048,14.459,10.6117,-3.4107,14.6455,10.6543,-5.726,13.1713,9.718,2.217389,14.5678001,12.53422045,0.18115111,13.67939825,12.32577478,5.4468,17.2885,2.9951,4.2626,18.1276,3.6994,1.2314,16.1608,10.1342,1.7609,17.9662,6.7756,1.8013,18.7571,3.7375,2.4423,18.9385,2.3642,3.1249,18.6297,1.8591,-5.0317,15.2252,8.523,-4.2902,17.0155,6.7367,-3.8942,17.9425,4.6442,-3.1685,18.6122,1.8347,-2.2524,18.8588,0.4805,-1.8439,18.8878,-0.7764,-1.0542,18.9445,-2.4289,-0.3524,19.088,-3.2578,0.0913,19.093,-4.1036
