Le02R_X,Le02R_Y,Le02R_Z,Mi05R_X,Mi05R_Y,Mi05R_Z,shdR_X,shdR_Y,shdR_Z,elbR_X,elbR_Y,elbR_Z,wstR_X,wstR_Y,wstR_Z,mcp3R_X,mcp3R_Y,mcp3R_Z,ip3R_X,ip3R_Y,ip3R_Z,t3R_X,t3R_Y,t3R_Z,mcp4R_X,mcp4R_Y,mcp4R_Z,ip4R_X,ip4R_Y,ip4R_Z,t4R_X,t4R_Y,t4R_Z,mcp5R_X,mcp5R_Y,mcp5R_Z,ip5R_X,ip5R_Y,ip5R_Z,t5R_X,t5R_Y,t5R_Z,hipR_X,hipR_Y,hipR_Z,ankR_X,ankR_Y,ankR_Z,str_X,str_Y,str_Z,lmb_X,lmb_Y,lmb_Z,Sj18R_X,Sj18R_Y,Sj18R_Z,Sn02R_X,Sn02R_Y,Sn02R_Z,Sn03R_X,Sn03R_Y,Sn03R_Z,Te01R_X,Te01R_Y,Te01R_Z,Te02R_X,Te02R_Y,Te02R_Z,Te03R_X,Te03R_Y,Te03R_Z,Te05R_X,Te05R_Y,Te05R_Z,Te08R_X,Te08R_Y,Te08R_Z
NaN,NaN, NaN ,NaN,NaN, NaN ,1.8226,1.9412,19.656,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN 
NaN,NaN, NaN ,NaN,NaN, NaN ,1.9066,2.0132,19.684,-0.22213,2.5221,16.858,3.8086,2.8786,11.915,3.4809,1.7486,8.3053,3.4389,0.83566,5.5958,1.7751,0.99054,2.7971,2.2997,2.2828,8.8444,1.3293,1.7482,6.8458,-0.31049,0.94201,5.4119,0.12484,2.6139,10.944,-1.6352,1.9585,10.305,-3.5866,1.2543,9.9894,-2.6246,-0.32958,20.579,NaN,NaN, NaN ,1.609,1.1356,21.205,-0.28362,0.045733,21.118,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN 
2.875848,3.051814,16.069063,-2.511581,1.895579,15.31564,1.992,2.0777,19.718,-0.063902,2.5128,16.845,4.115,2.7725,12.013,3.9235,1.5977,8.4093,3.9776,0.63211,5.7136,2.4323,0.7369,2.8545,2.7175,2.1199,8.8955,1.8331,1.5235,6.8641,0.24922,0.71402,5.3993,0.47965,2.4208,10.935,-1.2631,1.7999,10.236,-3.1979,1.0645,9.8665,-2.5603,-0.2361,20.601,NaN,NaN, NaN ,1.6918,1.1826,21.203,-0.2135,0.13355,21.137,5.9858,1.5157,11.987,0.828231,2.272668,18.568261,1.897158,3.011084,14.781141,-5.005436,-0.239392,16.737127,-4.065469,1.092073,14.19427,-3.400369,1.355365,11.815943,-0.902744,1.344792,7.665226,1.78803,0.955142,4.353741
3.056629,3.043291,16.136342,-2.290864,1.795938,15.247706,2.0713,2.1525,19.745,0.09703,2.5229,16.833,4.4199,2.6779,12.132,4.3641,1.4381,8.5384,4.524,0.43641,5.8575,3.09,0.53241,2.9395,3.141,1.9693,8.9777,2.3384,1.3124,6.9155,0.81734,0.49932,5.4136,0.82756,2.2735,10.936,-0.88203,1.6234,10.188,-2.8037,0.86937,9.7656,-2.5014,-0.14603,20.619,NaN,NaN, NaN ,1.7638,1.2471,21.226,-0.14818,0.20487,21.157,6.2999,1.4276,12.185,0.94239,2.309523,18.578182,2.11689,2.966494,14.81245,NaN,NaN, NaN ,-3.819651,0.791686,14.128935,-3.070911,1.162447,11.711787,-0.425654,1.129691,7.628103,2.378595,0.780158,4.412989
3.238834,3.03403,16.207873,-2.061677,1.696198,15.205249,2.1562,2.2123,19.774,0.2531,2.5166,16.831,4.7274,2.5828,12.258,4.8006,1.2748,8.685,5.0643,0.23862,6.0269,3.7479,0.3094,3.057,3.5532,1.8439,9.07,2.833,1.1348,6.9856,1.3711,0.28517,5.4528,1.1794,2.1021,10.957,-0.49708,1.4521,10.165,-2.3939,0.68411,9.7017,-2.4433,-0.04205,20.651,NaN,NaN, NaN ,1.8434,1.3204,21.247,-0.08194,0.29275,21.175,6.6124,1.3416,12.398,1.064188,2.371637,18.608933,2.341682,2.933814,14.865649,-4.51539,-0.348341,16.695512,-3.515933,0.6377,14.069367,-2.728343,0.988267,11.640801,0.045177,0.93404,7.625676,2.96758,0.563262,4.490086
3.42048,3.096671,16.295577,-1.811958,1.638213,15.177557,2.2366,2.286,19.806,0.41737,2.5213,16.827,5.0311,2.4985,12.398,5.2333,1.1616,8.8505,5.5944,0.081857,6.2122,4.3819,0.12209,3.1957,3.9733,1.6967,9.1863,3.3232,0.94463,7.0787,1.9164,0.07351,5.5156,1.5405,1.9385,11.002,-0.11378,1.2761,10.166,-1.9794,0.5048,9.6688,-2.3834,0.059076,20.665,NaN,NaN, NaN ,1.9196,1.3981,21.266,-0.019027,0.38553,21.193,6.9199,1.2659,12.619,1.186843,2.493345,18.65194,2.559679,2.974275,14.921294,-4.310731,-0.444996,16.740293,-3.199271,0.52601,14.032044,-2.385458,0.860493,11.601344,0.533152,0.803005,7.642561,3.578031,0.440678,4.604003
3.588785,3.086528,16.3568,-1.588064,1.514372,15.161967,2.3171,2.3622,19.832,0.58207,2.5258,16.831,5.3318,2.4311,12.555,5.6568,1.022,9.0365,6.1164,-0.085403,6.4261,5.0177,-0.10353,3.373,4.3833,1.5802,9.3286,3.8076,0.75781,7.2129,2.4615,-0.12171,5.6035,1.8903,1.7639,11.062,0.27623,1.1049,10.192,-1.5733,0.31537,9.6572,-2.3274,0.15827,20.688,NaN,NaN, NaN ,1.9867,1.4992,21.285,0.044521,0.47528,21.21,7.2245,1.2069,12.856,1.288368,2.510382,18.660212,2.778895,2.898832,14.989662,-4.138928,-0.444392,16.740395,-2.889193,0.353561,14.037334,-2.012559,0.714202,11.566777,1.002838,0.613284,7.718179,4.159288,0.224704,4.75007
3.76815,3.056971,16.460311,-1.345772,1.430542,15.178013,2.3981,2.439,19.868,0.73667,2.5151,16.839,5.6288,2.3745,12.725,6.0729,0.9053,9.2424,6.6238,-0.22331,6.6663,5.6257,-0.25654,3.5676,4.7849,1.4711,9.4901,4.2865,0.57752,7.3637,2.9983,-0.30357,5.7306,2.2476,1.623,11.144,0.66204,0.94592,10.242,-1.1633,0.11006,9.6711,-2.2685,0.25553,20.706,NaN,NaN, NaN ,2.062,1.5702,21.304,0.10501,0.56612,21.227,7.5294,1.1494,13.104,1.401299,2.519641,18.676574,2.997841,2.824266,15.051901,NaN,NaN, NaN ,-2.596098,0.122837,14.038274,-1.665891,0.453692,11.588224,1.455098,0.341012,7.784818,4.700508,0.022616,4.920342
3.934155,3.082114,16.548367,-1.111491,1.361194,15.214655,2.4797,2.5227,19.897,0.89768,2.5224,16.854,5.9217,2.3266,12.908,6.4765,0.77692,9.4692,7.1156,-0.35728,6.9219,6.2219,-0.44165,3.8024,5.1815,1.3303,9.6689,4.7449,0.43344,7.5471,3.5132,-0.47555,5.8795,2.5939,1.505,11.244,1.0387,0.79416,10.317,-0.76789,-0.1183,9.7087,-2.1998,0.36425,20.74,-4.652883,-1.740397,18.934897,2.1303,1.666,21.322,0.16606,0.65611,21.242,7.8238,1.1294,13.364,1.526049,2.575325,18.710419,3.21191,2.815013,15.138718,-3.699262,-0.725868,16.765952,-2.298214,-0.02982,14.06551,-1.284981,0.245199,11.63245,1.917409,0.155473,7.886739,5.229,-0.159088,5.119437
4.10048,3.093525,16.653421,-0.882647,1.280266,15.237436,2.5582,2.5985,19.922,1.0541,2.5343,16.875,6.2032,2.3009,13.102,6.8718,0.69094,9.7085,7.6019,-0.49427,7.2068,6.7951,-0.622,4.0659,5.5568,1.2328,9.8503,5.194,0.29071,7.753,4.016,-0.68443,6.0464,2.9352,1.399,11.358,1.4103,0.64173,10.413,-0.36736,-0.31824,9.7746,-2.1443,0.47278,20.762,NaN,NaN, NaN ,2.1972,1.7315,21.344,0.22546,0.75829,21.26,8.1123,1.1224,13.64,1.635666,2.623544,18.736857,3.420265,2.804894,15.228668,NaN,NaN, NaN ,-2.013561,-0.140278,14.12354,-0.919559,0.075457,11.709894,2.353373,0.013256,8.013637,5.763459,-0.329345,5.352669
4.252283,3.139311,16.751149,-0.650115,1.232672,15.302793,2.6432,2.672,19.952,1.2041,2.5419,16.9,6.4777,2.2837,13.308,7.2602,0.59575,9.9753,8.0694,-0.62841,7.5143,7.3559,-0.83222,4.358,5.9277,1.1079,10.056,5.6492,0.11974,7.991,4.5129,-0.88748,6.2492,3.2684,1.3057,11.494,1.7794,0.50583,10.533,0.028667,-0.52346,9.8795,-2.0776,0.585,20.789,-4.458991,-0.593166,19.2106,2.2689,1.8248,21.362,0.28821,0.8502,21.276,8.3875,1.1439,13.924,1.746543,2.69273,18.778673,3.619467,2.796827,15.325399,-3.239324,-0.70543,16.89589,-1.729289,-0.224282,14.20282,-0.551145,-0.130561,11.805852,2.794,-0.167244,8.165006,6.302053,-0.513645,5.606566
4.401566,3.185222,16.867732,-0.41715,1.199321,15.370529,2.7257,2.7468,19.977,1.3518,2.561,16.93,6.7416,2.2886,13.527,7.6384,0.55348,10.249,8.5284,-0.73774,7.8456,7.902,-1.0399,4.6838,6.2833,1.0144,10.276,6.0728,0.001462,8.247,5.0258,-1.0403,6.505,3.5967,1.2199,11.646,2.1395,0.37628,10.674,0.42715,-0.71907,10.008,-2.0122,0.68628,20.812,NaN,NaN, NaN ,2.3403,1.9014,21.382,0.35111,0.9471,21.294,8.6512,1.1823,14.225,1.854862,2.759438,18.815276,3.805842,2.803305,15.427777,NaN,NaN, NaN ,-1.447109,-0.292344,14.293217,-0.197048,-0.302008,11.92139,3.222104,-0.301904,8.352346,6.825071,-0.691716,5.893016
4.540503,3.237127,16.975292,-0.207078,1.159585,15.447768,2.8019,2.8402,20.013,1.4917,2.5696,16.968,6.9927,2.3133,13.756,7.988,0.48021,10.55,8.9647,-0.842,8.206,8.4302,-1.2304,5.038,6.6316,0.94158,10.521,6.4849,-0.10202,8.5238,5.5064,-1.2342,6.7729,3.9155,1.1327,11.813,2.4962,0.25071,10.83,0.81128,-0.87986,10.159,-1.9446,0.79167,20.835,-3.948783,-0.35455,19.21949,2.4162,1.9842,21.399,0.41317,1.0466,21.312,8.9015,1.2428,14.528,1.958952,2.81208,18.848276,3.995112,2.848772,15.548586,NaN,NaN, NaN ,-1.185129,-0.369995,14.385459,0.136283,-0.427459,12.048793,3.650654,-0.448751,8.571902,7.309071,-0.840019,6.200328
4.67874,3.293158,17.083157,0.012208,1.122982,15.535495,2.8855,2.9048,20.038,1.6253,2.599,17.007,7.2341,2.355,13.989,8.3317,0.46203,10.859,9.3915,-0.92883,8.5887,8.9373,-1.4251,5.4234,6.9676,0.87605,10.779,6.8894,-0.22947,8.8227,5.9848,-1.4416,7.0785,4.2278,1.0539,11.995,2.8423,0.13236,11.011,1.1977,-1.0729,10.332,-1.8661,0.88564,20.862,-3.748751,-1.498943,19.418991,2.4898,2.0485,21.415,0.47574,1.1437,21.329,9.1367,1.3306,14.838,2.066311,2.873395,18.884075,4.167769,2.878101,15.661502,NaN,NaN, NaN ,-0.900939,-0.313713,14.489074,0.451643,-0.5293,12.178739,NaN,NaN, NaN ,7.785337,-1.020384,6.529863
4.80504,3.375868,17.200749,0.224554,1.078814,15.634069,2.9672,2.9866,20.063,1.7535,2.6257,17.052,7.4567,2.4146,14.232,8.6644,0.45785,11.184,9.8039,-0.99463,8.9847,9.4351,-1.5854,5.8315,7.2911,0.84145,11.057,7.2808,-0.36589,9.1487,6.4214,-1.5736,7.3988,4.5337,0.99529,12.2,3.1869,0.022571,11.214,1.5868,-1.2778,10.531,-1.7919,0.98635,20.885,-3.611969,-1.780753,19.339448,2.5651,2.1338,21.432,0.54369,1.2417,21.348,9.356,1.4466,15.151,2.164168,2.945946,18.927077,4.332003,2.914668,15.780447,NaN,NaN, NaN ,-0.649291,-0.388958,14.600798,0.751717,-0.608599,12.321474,NaN,NaN, NaN ,8.258741,-1.190768,6.91541
4.922028,3.4451,17.307331,0.449823,1.170322,15.731945,3.0554,3.0653,20.092,1.8789,2.6547,17.1,7.665,2.5002,14.48,8.9806,0.46,11.518,10.202,-1.0469,9.3993,9.9235,-1.7811,6.2777,7.5993,0.80744,11.343,7.6573,-0.41754,9.4774,6.9024,-1.5274,7.7192,4.8234,0.94112,12.426,3.5148,-0.069472,11.431,1.9345,-1.4094,10.738,-1.7118,1.0923,20.906,NaN,NaN, NaN ,2.636,2.227,21.447,0.61128,1.3384,21.366,9.5608,1.5797,15.466,2.263324,3.021134,18.969824,4.485212,2.980923,15.907805,NaN,NaN, NaN ,-0.423004,-0.426298,14.723239,1.046513,-0.698397,12.475157,NaN,NaN, NaN ,8.720496,-1.335318,7.309321
5.029011,3.533164,17.41384,NaN,NaN, NaN ,3.1338,3.1541,20.12,NaN,NaN, NaN ,7.858,2.5936,14.727,9.2921,0.49593,11.86,10.584,-1.0735,9.8402,10.396,-1.9605,6.7518,7.9007,0.81469,11.645,8.021,-0.49542,9.8307,7.3353,-1.6871,8.0963,5.1049,0.89894,12.663,3.8341,-0.1596,11.666,2.3184,-1.2755,10.931,-1.6232,1.1805,20.928,-3.28079,-1.453742,19.385923,2.7102,2.3109,21.464,0.68048,1.4388,21.381,9.7505,1.7423,15.786,2.357616,3.088919,19.01635,4.62451,3.049169,16.037036,NaN,NaN, NaN ,-0.199113,-0.483311,14.838192,1.345464,-0.741734,12.652191,NaN,NaN, NaN ,9.156769,-1.432224,7.725949
5.125018,3.625681,17.530901,NaN,NaN, NaN ,3.2117,3.2372,20.146,NaN,NaN, NaN ,8.0341,2.7133,14.978,9.5741,0.54275,12.218,10.951,-1.0707,10.295,10.853,-2.0907,7.2494,8.2138,0.97581,11.947,8.3726,-0.52544,10.192,7.756,-1.8048,8.4877,5.3711,0.85902,12.904,4.1431,-0.22657,11.909,2.6634,-1.3692,11.169,-1.5339,1.2851,20.952,NaN,NaN, NaN ,2.7828,2.3806,21.481,0.7525,1.5402,21.401,9.9162,1.9273,16.095,2.446872,3.172399,19.066575,4.757575,3.122933,16.162344,NaN,NaN, NaN ,0.012148,-0.476186,14.956908,1.657038,-0.75158,12.843745,5.646864,-1.120302,9.903024,9.613221,-1.404654,8.142099
5.219308,3.724802,17.640472,1.048661,1.221816,16.122741,3.2923,3.3194,20.175,2.186,2.8513,17.255,8.1939,2.8431,15.224,9.851,0.61097,12.577,11.3,-1.054,10.762,11.299,-2.2161,7.7736,8.4853,1.0045,12.272,8.7613,-0.37468,10.55,8.1728,-1.9152,8.9044,5.6186,0.87372,13.144,4.4536,-0.29501,12.164,2.9993,-1.4763,11.432,-1.4365,1.3561,20.972,-3.171289,-1.45642,19.67594,2.8583,2.4608,21.5,0.82254,1.6361,21.419,10.064,2.1311,16.413,2.540601,3.255982,19.104307,4.869561,3.213787,16.289117,NaN,NaN, NaN ,NaN,NaN, NaN ,1.941252,-0.784129,13.051897,NaN,NaN, NaN ,10.037396,-1.490204,8.60017
5.295253,3.829246,17.747064,NaN,NaN, NaN ,3.38,3.3886,20.194,NaN,NaN, NaN ,8.3413,2.9904,15.469,10.106,0.7001,12.946,11.641,-1.009,11.24,11.731,-2.2927,8.3186,8.7437,1.0429,12.604,9.0927,-0.37253,10.941,8.5789,-1.9989,9.3368,5.8638,0.85363,13.39,4.7447,-0.35692,12.426,3.3316,-1.5706,11.703,-1.3409,1.4536,20.99,NaN,NaN, NaN ,2.9374,2.5417,21.516,0.89505,1.7382,21.439,10.19,2.3505,16.725,2.631207,3.333106,19.143521,4.977819,3.295202,16.408658,NaN,NaN, NaN ,NaN,NaN, NaN ,2.225487,-0.840098,13.275054,NaN,NaN, NaN ,10.43449,-1.502991,9.072755
5.368221,3.940004,17.856107,NaN,NaN, NaN ,3.4634,3.4804,20.224,NaN,NaN, NaN ,8.4698,3.1488,15.709,10.346,0.80497,13.316,11.961,-0.93897,11.726,12.146,-2.3607,8.8758,8.996,1.08,12.945,9.411,-0.36248,11.343,8.9648,-2.0434,9.7884,6.075,1.095,13.615,5.0349,-0.42124,12.694,3.6588,-1.66,11.99,-1.2369,1.5391,21.017,NaN,NaN, NaN ,3.0107,2.6235,21.53,0.97048,1.8346,21.456,10.294,2.5853,17.037,2.706084,3.420679,19.185865,NaN,NaN, NaN ,NaN,NaN, NaN ,0.664252,-0.523339,15.442539,2.49403,-0.896867,13.493585,6.72947,-1.40176,11.021518,10.834516,-1.584808,9.567641
5.432292,4.04212,17.946614,NaN,NaN, NaN ,3.5503,3.5552,20.243,2.4751,2.9894,17.407,8.5856,3.3192,15.947,10.57,0.92095,13.69,12.264,-0.83258,12.22,12.54,-2.3905,9.4517,9.2216,1.1784,13.283,9.7134,-0.33594,11.751,9.3407,-2.0759,10.252,6.2909,1.1434,13.861,5.2843,-0.2094,12.937,3.9706,-1.7174,12.282,-1.1303,1.6225,21.04,NaN,NaN, NaN ,3.0825,2.6952,21.548,1.0455,1.936,21.475,10.377,2.8337,17.342,2.794918,3.494171,19.219885,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,2.764779,-0.899985,13.739903,NaN,NaN, NaN ,11.205225,-1.548704,10.055442
5.490865,4.173693,18.046654,NaN,NaN, NaN ,3.6343,3.6406,20.268,NaN,NaN, NaN ,8.682,3.5061,16.179,10.778,1.0617,14.063,12.549,-0.708,12.72,12.922,-2.3788,10.036,9.438,1.2797,13.621,9.9923,-0.27583,12.162,9.7018,-2.0717,10.724,6.4918,1.2003,14.106,5.5337,-0.18743,13.206,4.2753,-1.7678,12.578,-1.0313,1.6995,21.064,NaN,NaN, NaN ,3.1605,2.7802,21.564,1.1241,2.0334,21.493,10.44,3.0968,17.642,2.868863,3.575451,19.256325,5.240811,3.640578,16.76922,NaN,NaN, NaN ,NaN,NaN, NaN ,3.02546,-0.913111,13.997533,NaN,NaN, NaN ,11.552111,-1.552534,10.571719
5.535805,4.293378,18.134642,NaN,NaN, NaN ,3.7237,3.7266,20.289,2.5721,3.2876,17.485,8.7714,3.6889,16.407,10.962,1.2182,14.43,12.807,-0.56141,13.214,13.281,-2.3585,10.617,9.6341,1.4119,13.95,10.261,-0.21863,12.58,10.052,-2.0597,11.209,6.6747,1.3069,14.345,5.7718,-0.14737,13.472,4.578,-1.8269,12.88,-0.92847,1.7974,21.093,-2.651231,-0.979634,19.853669,3.2409,2.8621,21.577,1.2015,2.1347,21.512,10.481,3.3702,17.933,2.948309,3.67335,19.289317,NaN,NaN, NaN ,-1.169793,-0.681932,18.093427,NaN,NaN, NaN ,3.288307,-0.90531,14.248625,NaN,NaN, NaN ,11.880993,-1.518728,11.086866
5.596294,4.375568,18.222324,NaN,NaN, NaN ,3.8119,3.8055,20.303,2.6294,3.3798,17.522,8.939,3.593,16.648,11.11,1.3114,14.802,13.045,-0.38706,13.71,13.63,-2.2805,11.21,9.8138,1.5362,14.288,10.513,-0.10612,12.987,10.368,-2.0044,11.67,6.8437,1.4123,14.578,5.9975,-0.10782,13.738,4.8577,-1.8254,13.172,-0.82482,1.8812,21.125,NaN,NaN, NaN ,3.3196,2.949,21.59,1.2861,2.2236,21.53,10.504,3.6515,18.216,3.027593,3.758584,19.315165,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,12.208958,-1.46043,11.621395
5.625777,4.575188,18.30145,2.020226,1.525371,16.944214,3.9001,3.8843,20.316,2.6823,3.4722,17.556,8.8873,4.1221,16.838,11.263,1.4884,15.161,13.262,-0.19056,14.2,13.955,-2.1805,11.792,9.983,1.6811,14.61,10.741,0.021942,13.4,10.671,-1.9665,12.158,7.002,1.5254,14.806,6.208,-0.049457,13.999,5.1167,-1.7779,13.46,-0.72753,1.9576,21.143,NaN,NaN, NaN ,3.4043,3.0133,21.604,1.3688,2.3225,21.548,10.507,3.9465,18.488,3.121148,3.888268,19.347363,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,12.50073,-1.395157,12.141337
