Le02R_X,Le02R_Y,Le02R_Z,Mi05R_X,Mi05R_Y,Mi05R_Z,shdR_X,shdR_Y,shdR_Z,elbR_X,elbR_Y,elbR_Z,wstR_X,wstR_Y,wstR_Z,mcp3R_X,mcp3R_Y,mcp3R_Z,ip3R_X,ip3R_Y,ip3R_Z,t3R_X,t3R_Y,t3R_Z,mcp4R_X,mcp4R_Y,mcp4R_Z,ip4R_X,ip4R_Y,ip4R_Z,t4R_X,t4R_Y,t4R_Z,mcp5R_X,mcp5R_Y,mcp5R_Z,ip5R_X,ip5R_Y,ip5R_Z,t5R_X,t5R_Y,t5R_Z,hipR_X,hipR_Y,hipR_Z,ankR_X,ankR_Y,ankR_Z,str_X,str_Y,str_Z,lmb_X,lmb_Y,lmb_Z,Sn02R_X,Sn02R_Y,Sn02R_Z,Sn03R_X,Sn03R_Y,Sn03R_Z,Te01R_X,Te01R_Y,Te01R_Z,Te02R_X,Te02R_Y,Te02R_Z,Te03R_X,Te03R_Y,Te03R_Z,Te05R_X,Te05R_Y,Te05R_Z,Te08R_X,Te08R_Y,Te08R_Z
NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN 
NaN,NaN, NaN ,-3.2786,24.201,14.733,0.56602,24.419,18.558,-1.4327,24.938,15.943,4.0713,23.702,13.295,4.4521,21.217,10.32,4.995,19.346,8.2478,4.2067,17.853,5.4163,NaN,NaN, NaN ,-0.625818,22.032529,10.696259,1.5324,19.703,6.8757,0.72953,23.012,11.496,NaN,NaN, NaN ,-2.6791,21.693,9.9728,NaN,NaN, NaN ,NaN,NaN, NaN ,0.23674,23.831,19.782,-1.9615,23.395,19.758,NaN,NaN, NaN ,1.070255,24.785746,14.703615,NaN,NaN, NaN ,-4.597603,23.007315,13.745407,-3.312092,22.522973,11.544758,-0.092602,21.044793,8.482438,NaN,NaN, NaN 
1.7989,25.055,15.874,-3.1785,24.202,14.781,0.62289,24.454,18.545,-1.3821,24.969,15.95,4.1876,23.745,13.5,4.6088,21.131,10.642,5.1792,19.017,8.5857,4.4234,17.585,5.8462,NaN,NaN, NaN ,2.905943,20.442977,8.769827,1.7211,19.421,7.1977,0.85778,22.83,11.679,-0.79408,23.123,10.626,-2.515,21.619,10.11,-4.28087,23.568453,19.479414,NaN,NaN, NaN ,0.27851,23.867,19.74,-1.8941,23.422,19.725,-0.3616,24.917,17.485,NaN,NaN, NaN ,NaN,NaN, NaN ,-4.436473,22.888238,13.80462,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN 
1.8564,25.103,15.959,-3.0816,24.216,14.837,0.6754,24.527,18.551,-1.309,24.978,15.993,4.3002,23.805,13.703,4.765,21.077,10.948,5.4379,19.388,8.9934,4.6162,17.345,6.2918,NaN,NaN, NaN ,NaN,NaN, NaN ,1.9226,19.256,7.5432,1.02,22.803,11.883,-0.50132,22.224,10.894,-2.307,21.477,10.28,-4.1371,23.667,19.579,NaN,NaN, NaN ,0.3147,23.854,19.73,-1.8268,23.463,19.724,-0.30323,24.969,17.505,1.219833,24.819047,14.898174,NaN,NaN, NaN ,-4.323517,22.902659,13.892944,-3.011734,22.479045,11.794246,0.309091,20.510932,9.009764,3.793758,18.727021,7.114129
1.9067,25.167,16.04,-2.9914,24.234,14.897,0.74328,24.563,18.555,-1.2613,25.088,16.031,4.4086,23.882,13.907,4.9125,21.077,11.289,5.5365,18.872,9.4501,4.8145,17.156,6.7907,3.75,22.077,11.277,3.3036,20.309,9.4093,2.1237,19.033,7.9039,1.1541,22.776,12.078,-0.36244,22.246,11.07,-2.1543,21.42,10.441,-4.137482,23.791392,19.458831,NaN,NaN, NaN ,0.37856,23.892,19.731,-1.7563,23.509,19.72,-0.24581,25.016,17.525,NaN,NaN, NaN ,NaN,NaN, NaN ,-4.249146,22.473504,14.019612,NaN,NaN, NaN ,NaN,NaN, NaN ,3.9312,18.418,7.5439
1.9573,25.239,16.118,-2.9076,24.258,14.958,0.8169,24.635,18.582,-1.2098,25.146,16.07,4.5058,23.984,14.109,5.0555,21.095,11.617,5.7081,18.796,9.8986,4.9744,16.97,7.2478,3.887,22.018,11.541,3.4462,20.31,9.7391,2.3167,18.816,8.2818,1.2855,22.801,12.277,-0.20351,22.408,11.283,-1.9839,21.33,10.612,NaN,NaN, NaN ,NaN,NaN, NaN ,0.43852,23.953,19.732,-1.686,23.547,19.718,-0.18801,25.075,17.542,1.343822,24.998889,15.075525,NaN,NaN, NaN ,-4.078819,22.671941,14.079627,-2.698483,22.341063,12.055761,0.613176,20.474947,9.507225,4.0704,18.421,7.9487
2.0033,25.311,16.196,-2.8166,24.284,15.015,0.85018,24.763,18.631,-1.1676,25.192,16.07,4.6005,24.099,14.314,5.1942,21.114,11.961,5.872,18.594,10.28,5.1834,16.736,7.8111,4.0217,22.094,11.807,3.610303,19.937494,10.111749,2.478,18.742,8.6594,1.4074,22.841,12.472,-0.048413,22.255,11.471,-1.8231,21.268,10.789,-3.994425,23.79549,19.451044,NaN,NaN, NaN ,0.50707,23.993,19.732,-1.613,23.593,19.716,-0.12936,25.127,17.556,NaN,NaN, NaN ,NaN,NaN, NaN ,-4.02893,22.743895,14.122052,NaN,NaN, NaN ,0.848013,20.39632,9.808378,4.2425,18.333,8.3809
2.0487,25.4,16.268,-2.7358,24.317,15.074,0.94252,24.726,18.561,-1.1129,25.25,16.125,4.6851,24.233,14.51,5.3239,21.165,12.26,6.0374,18.645,10.782,5.3355,16.809,8.3255,4.0994,21.862,12.104,NaN,NaN, NaN ,2.6718,18.583,9.0635,1.5366,22.89,12.678,0.095155,22.195,11.663,-1.705,21.272,10.914,NaN,NaN, NaN ,NaN,NaN, NaN ,0.57465,24.035,19.731,-1.5406,23.636,19.716,-0.070557,25.179,17.566,1.47456,25.185673,15.275159,NaN,NaN, NaN ,-3.872818,22.861567,14.197816,-2.39195,22.232051,12.261737,0.983251,20.409227,10.08066,4.4215,18.158,8.8444
2.0875,25.491,16.337,-2.6669,24.381,15.136,0.98672,24.846,18.604,-1.0675,25.32,16.149,4.7641,24.381,14.702,5.4573,21.207,12.559,6.1896,18.669,11.224,5.5513,16.481,8.9797,NaN,NaN, NaN ,NaN,NaN, NaN ,2.8203,18.491,9.446,1.6635,22.982,12.879,0.229,22.191,11.861,-1.48,21.197,11.152,-3.786713,23.772777,19.496161,NaN,NaN, NaN ,0.63756,24.079,19.73,-1.4664,23.68,19.717,-0.009368,25.238,17.577,NaN,NaN, NaN ,NaN,NaN, NaN ,-3.81496,22.798507,14.241432,NaN,NaN, NaN ,NaN,NaN, NaN ,4.5852,18.068,9.305
2.1246,25.597,16.403,-2.6314,24.426,15.196,1.075,24.858,18.58,-1.0309,25.424,16.175,4.8329,24.549,14.89,5.5627,21.368,12.953,6.3291,18.667,11.678,5.6703,16.535,9.4597,4.318932,21.520173,12.535194,NaN,NaN, NaN ,2.9979,18.356,9.8793,1.7637,22.997,13.073,0.35178,22.321,12.056,-1.4704,21.526,11.247,NaN,NaN, NaN ,NaN,NaN, NaN ,0.70396,24.108,19.73,-1.3954,23.722,19.717,0.055243,25.297,17.58,1.598354,25.452481,15.446866,NaN,NaN, NaN ,-3.711416,22.717378,14.318587,-2.212901,22.423997,12.535792,1.323527,20.329835,10.678993,4.763199,18.001565,9.769007
