Le01R_X,Le01R_Y,Le01R_Z,Le02R_X,Le02R_Y,Le02R_Z,Le03R_X,Le03R_Y,Le03R_Z,Mf01R_X,Mf01R_Y,Mf01R_Z,Mf02R_X,Mf02R_Y,Mf02R_Z,Mf03R_X,Mf03R_Y,Mf03R_Z,Mi01R_X,Mi01R_Y,Mi01R_Z,Mi02R_X,Mi02R_Y,Mi02R_Z,Mi03R_X,Mi03R_Y,Mi03R_Z,Mi04R_X,Mi04R_Y,Mi04R_Z,Mi05R_X,Mi05R_Y,Mi05R_Z,Mi06R_X,Mi06R_Y,Mi06R_Z,Mi07R_X,Mi07R_Y,Mi07R_Z,Mi08R_X,Mi08R_Y,Mi08R_Z,Mi09R_X,Mi09R_Y,Mi09R_Z,Mm01R_X,Mm01R_Y,Mm01R_Z,Mm02R_X,Mm02R_Y,Mm02R_Z,Mm03R_X,Mm03R_Y,Mm03R_Z,Mo02R_X,Mo02R_Y,Mo02R_Z,Mo03R_X,Mo03R_Y,Mo03R_Z,shdR_X,shdR_Y,shdR_Z,elbR_X,elbR_Y,elbR_Z,wstR_X,wstR_Y,wstR_Z,mcp3R_X,mcp3R_Y,mcp3R_Z,ip3R_X,ip3R_Y,ip3R_Z,t3R_X,t3R_Y,t3R_Z,mcp4R_X,mcp4R_Y,mcp4R_Z,ip4R_X,ip4R_Y,ip4R_Z,t4R_X,t4R_Y,t4R_Z,mcp5R_X,mcp5R_Y,mcp5R_Z,ip5R_X,ip5R_Y,ip5R_Z,t5R_X,t5R_Y,t5R_Z,hipR_X,hipR_Y,hipR_Z,kneeR_X,kneeR_Y,kneeR_Z,ankR_X,ankR_Y,ankR_Z,str_X,str_Y,str_Z,lmb_X,lmb_Y,lmb_Z,Sn02R_X,Sn02R_Y,Sn02R_Z,Sn03R_X,Sn03R_Y,Sn03R_Z,Sn04R_X,Sn04R_Y,Sn04R_Z,Sn05R_X,Sn05R_Y,Sn05R_Z,Sn06R_X,Sn06R_Y,Sn06R_Z,Te01R_X,Te01R_Y,Te01R_Z,Te02R_X,Te02R_Y,Te02R_Z,Te03R_X,Te03R_Y,Te03R_Z,Te04R_X,Te04R_Y,Te04R_Z,Te05R_X,Te05R_Y,Te05R_Z,Te06R_X,Te06R_Y,Te06R_Z,Te07R_X,Te07R_Y,Te07R_Z,Te08R_X,Te08R_Y,Te08R_Z,Te09R_X,Te09R_Y,Te09R_Z
3.1068,25.2367,7.6537,NaN,NaN,NaN,4.4751,25.6469,4.2469,1.9075,25.7038,6.6718,2.8126,25.8007,6.1445,2.5177,25.5263,7.287,-0.0207,25.4372,7.7092,-2.3873,25.2051,7.7758,-3.7813,24.7206,7.4603,-2.6701,25.9775,5.0722,NaN,NaN, NaN ,-0.578,25.9853,5.8547,1.3495,26.3418,4.1313,0.2559,26.5423,3.2956,-1.0836,26.7509,2.7749,2.3866,26.2317,0.1402,0.7983,26.5837,-0.465,1.5905,26.4978,-1.9269,3.1598,26.1912,-3.343,3.8528,25.8144,-3.8423,2.5992,23.9384,9.184,0.464962,25.225236,6.522293,5.186306,25.710324,2.337152,4.553779,25.139791,-1.328357,4.433053,25.353166,-4.203785,2.990257,25.206534,-6.653009,3.4127,26.1553,-0.8086,2.4754,26.4418,-2.7827,0.7589,26.7622,-4.2982,1.4543,26.312,1.4453,-0.139203,26.418634,0.775686,-2.3303,26.5481,0.3304,-2.5098,23.3363,10.1775,-3.5531,24.1359,9.2402,NaN,NaN, NaN ,2.156376,22.913847,10.329079,-0.074292,22.512048,10.380644,1.4871,24.4995,8.0021,2.6972,25.7519,4.8665,3.3788,26.0826,1.996,4.1847,25.9226,0.6966,4.8352,25.4874,0.3372,NaN,NaN, NaN ,NaN,NaN, NaN ,NaN,NaN, NaN ,-1.1191,26.7131,-0.5924,-0.1118,26.7694,-1.7957,0.4384,26.9375,-3.0786,1.4722,26.7117,-4.6523,2.3293,26.5832,-5.2912,NaN,NaN,NaN
3.1715,25.2546,7.6537,3.6109,25.5939,5.9546,4.5817,25.4856,4.2617,1.977,25.6375,6.6372,2.8885,25.724,6.1213,2.5814,25.4894,7.2718,0.0408,25.4073,7.682,-2.3268,25.1482,7.7289,-3.7206,24.6748,7.4121,-2.5809,25.8761,4.9986,-1.6508,25.8261,5.4745,-0.4886,25.8722,5.7998,1.4532,26.1579,4.0776,0.363,26.3347,3.2204,-0.9581,26.5164,2.6825,2.5526,25.8976,0.1079,0.9612,26.2179,-0.5387,1.7736,26.0668,-1.9857,3.3661,25.7223,-3.3446,4.0559,25.323,-3.8218,2.6444,23.8715,9.1491,0.481771,25.302686,6.55579,5.340976,25.453944,2.378332,4.690775,25.387396,-1.399576,4.608469,24.803684,-4.137195,3.332198,24.525233,-6.737107,3.6037,25.8887,-0.7712,2.6199,25.6451,-2.7719,0.8747,25.8721,-4.302,1.6116,26.0581,1.4005,0.03783,26.124498,0.688702,-2.1766,26.2387,0.2213,-2.4741,23.3457,10.1802,-3.5144,24.2414,9.2181,-6.550575,22.85841,8.135906,2.217895,22.956944,10.351653,0.003109,22.5218,10.379416,1.5318,24.4863,8.0025,2.7783,25.5543,4.8503,3.5306,25.934,1.9607,4.3402,25.6257,0.7041,5.0006,25.1516,0.3691,-4.6083,24.3529,6.4718,-3.1782,25.68,4.2732,-2.3314,26.5074,2.1703,-0.9487,26.3334,-0.682,0.0691,26.2929,-1.8799,0.6389,26.4057,-3.1425,1.7005,26.1517,-4.6953,2.577,25.9267,-5.2972,NaN,NaN,NaN
3.2358,25.156,7.6532,3.6956,25.4984,5.9611,4.6842,25.3276,4.2877,2.0475,25.5763,6.6186,2.9702,25.6381,6.1054,2.6382,25.4484,7.2576,0.107,25.3731,7.6486,-2.2591,25.1124,7.6884,-3.6381,24.6074,7.3776,-2.4851,25.764,4.9345,-1.5579,25.6934,5.4112,-0.4043,25.7653,5.7497,1.5599,25.9711,4.0383,0.4915,26.0932,3.1591,-0.8295,26.269,2.6022,2.7153,25.5751,0.09,1.1363,25.8452,-0.5917,1.9638,25.6451,-2.0201,3.6127,24.8658,-3.2464,4.278,24.8253,-3.7768,2.7252,23.894,9.1249,0.571694,25.041236,6.490119,5.458423,25.193945,2.420982,4.890631,24.702514,-1.235831,4.855213,24.313198,-3.962571,3.597933,23.756134,-6.563205,3.7847,25.506,-0.7643,2.8232,25.1895,-2.7704,1.0913,25.1763,-4.3006,1.765,25.7703,1.3493,0.183796,25.801012,0.624023,-2.0175,25.9067,0.123,-2.4075,23.3301,10.1715,-3.4591,24.2249,9.2132,-6.515494,22.78218,8.090307,2.240654,23.029743,10.346108,0.05542,22.705765,10.387511,1.5961,24.4761,8.0238,2.8636,25.4543,4.8576,3.6688,25.6918,1.9581,4.4966,25.3201,0.7215,5.1494,24.8244,0.4091,-4.5321,24.3077,6.4508,-3.1238,25.5875,4.2095,-2.2146,26.2913,2.0654,-0.7732,25.951,-0.7597,0.2582,25.8395,-1.9415,0.8504,25.8751,-3.1838,1.9361,25.6091,-4.7212,2.832,25.2857,-5.2866,NaN,NaN,NaN
3.2925,25.1306,7.6643,3.7794,25.4017,5.9664,4.7883,25.1788,4.3234,2.1173,25.5082,6.5933,3.0439,25.5501,6.0957,2.7084,25.4068,7.2422,0.1773,25.3301,7.6167,-2.1904,25.0819,7.6553,-3.5557,24.5513,7.3445,-2.3813,25.6181,4.8907,-1.4621,25.5599,5.3672,-0.3167,25.6599,5.7032,1.67,25.7996,4.0114,0.604,25.8559,3.1104,-0.701,26.0002,2.5275,2.8849,25.2505,0.0894,1.314,25.4853,-0.6278,2.1633,25.2101,-2.0301,3.8173,24.3692,-3.2019,4.5113,23.9156,-3.6193,2.7753,24.0129,9.186,0.737418,24.950696,6.406089,5.636753,24.877707,2.468607,5.09423,24.397093,-1.243408,5.030817,23.828301,-3.901327,3.88666,24.167448,-6.809948,3.9614,25.1655,-0.7284,3.051,24.7661,-2.7206,1.3472,24.6756,-4.3153,1.9189,25.4945,1.3492,0.34471,25.499456,0.577402,-1.8535,25.5685,0.0358,-2.3629,23.334,10.1683,-3.3962,24.2172,9.212,-6.294469,22.752709,8.071806,2.310374,23.044402,10.347094,0.113521,22.719178,10.384721,1.6808,24.4609,8.0224,2.9724,25.3611,4.8462,3.8127,25.4427,1.9689,4.6534,25.018,0.7572,5.3152,24.5188,0.476,-4.4837,24.2797,6.4279,-3.0678,25.4713,4.1678,-2.0978,26.0282,1.9639,-0.5931,25.5677,-0.8302,0.4552,25.387,-1.9865,1.0674,25.3923,-3.2116,2.1744,25.0612,-4.7139,3.0908,24.6423,-5.2529,NaN,NaN,NaN
3.3569,25.0637,7.6479,3.8605,25.3109,5.9834,4.8897,25.0324,4.371,2.1917,25.4416,6.5816,3.1192,25.4617,6.0936,2.7784,25.3513,7.2357,0.2485,25.2982,7.5949,-2.112,25.0205,7.6269,-3.4642,24.4649,7.32,-2.2744,25.4627,4.8459,-1.3607,25.4323,5.3322,-0.2214,25.5212,5.6671,1.7813,25.6236,3.9953,0.7227,25.6226,3.0759,-0.5824,25.7249,2.4693,3.0617,24.9312,0.1067,1.4953,25.1169,-0.6461,2.3685,24.8033,-2.0208,4.0411,23.8952,-3.1286,4.7485,23.4384,-3.5093,2.803,23.9352,9.1259,0.736291,24.698757,6.339383,5.737671,24.767429,2.55347,5.355764,23.802348,-1.027197,5.308238,23.015361,-3.726218,3.855392,24.438059,-6.929566,4.1655,24.9007,-0.6751,3.2262,24.3815,-2.7009,1.5765,24.2494,-4.3131,2.0204,25.2574,1.3197,0.519926,25.183025,0.550952,-1.6807,25.2287,-0.0365,-2.2946,23.3325,10.1633,-3.3468,24.2239,9.2126,-6.280596,22.662571,8.085977,2.37115,23.06869,10.34971,0.184586,22.728343,10.37725,1.7474,24.4303,8.0333,3.0792,25.1879,4.8487,3.9519,25.203,1.9939,4.8132,24.7249,0.817,5.4754,24.1886,0.556,-4.4468,24.2601,6.4103,-3.0303,25.4001,4.1083,-1.9733,25.7296,1.8885,-0.4094,25.1832,-0.8794,0.6602,24.9656,-2.0148,1.3256,24.638,-3.1649,2.4144,24.5376,-4.682,3.2954,24.2063,-5.2151,NaN,NaN,NaN
3.4105,25.071,7.6824,3.9384,25.2098,6.0109,4.9955,24.8852,4.4306,2.2624,25.3755,6.5729,3.1952,25.3814,6.0998,2.8394,25.3229,7.2339,0.3134,25.2697,7.5766,-2.028,24.951,7.5936,-3.3661,24.3662,7.2996,-2.1622,25.2827,4.8066,-1.2586,25.3033,5.3027,-0.1323,25.4044,5.6417,1.8932,25.4574,3.9866,0.8506,25.3856,3.0561,-0.452,25.447,2.4224,3.2325,24.6155,0.1384,1.6778,24.7651,-0.6436,2.5808,24.3925,-1.9942,4.2706,23.4272,-3.0238,4.9542,22.9701,-3.385,2.8648,24.082,9.1958,0.857009,24.879348,6.423448,5.913664,24.438034,2.677046,5.517502,23.586937,-0.997137,5.52798,22.644759,-3.484893,4.084457,23.185582,-6.681341,4.3398,24.5219,-0.6086,3.4541,24.0111,-2.632,1.8034,23.6506,-4.2617,2.1753,25.0335,1.3404,0.678633,24.879871,0.53692,-1.5101,24.89,-0.0875,-2.238,23.3323,10.16,-3.2872,24.2182,9.2105,-6.17554,22.577932,8.065782,2.427432,23.095946,10.352055,0.242819,22.752904,10.381094,1.8163,24.4381,8.0419,3.1696,25.064,4.8776,4.0938,24.9688,2.0321,4.9747,24.4413,0.8869,5.6723,24.0871,0.7394,-4.405,24.2414,6.3987,-2.9333,25.2696,4.0851,-1.8323,25.403,1.8284,-0.2229,24.8057,-0.9112,0.8666,24.5565,-2.0275,1.5464,24.1659,-3.1459,2.6641,23.9801,-4.6115,3.5582,23.5799,-5.132,NaN,NaN,NaN
3.4796,25.0287,7.6734,4.0112,25.1256,6.0388,5.0957,24.7355,4.5018,2.3359,25.3169,6.5729,3.2709,25.2999,6.1111,2.9074,25.275,7.2342,0.38,25.2438,7.563,-1.9441,24.8858,7.5749,-3.3006,24.2956,7.27,-2.057,25.0976,4.7672,-1.162,25.1784,5.275,-0.0351,25.2833,5.6239,1.9987,25.2841,3.99,0.9711,25.1764,3.0444,-0.3214,25.1881,2.3923,3.4126,24.2833,0.1945,1.8642,24.4162,-0.619,2.7928,23.9941,-1.9383,4.4964,22.9579,-2.8949,5.2028,22.4387,-3.2029,2.9617,24.0018,9.2115,0.847526,24.796547,6.46123,6.026016,24.230838,2.783735,5.679561,23.354565,-0.772447,5.746546,22.131462,-3.373956,4.095689,22.877373,-6.499168,4.5157,24.1943,-0.5225,3.7058,23.5409,-2.4995,2.0818,23.0694,-4.162,2.3536,24.6574,1.4023,0.852862,24.570696,0.543902,-1.3418,24.5346,-0.1182,-2.1828,23.3308,10.1608,-3.2257,24.201,9.2032,-6.086299,22.717078,8.084081,2.487386,23.13371,10.354695,0.298594,22.770538,10.381849,1.8781,24.4266,8.0565,3.2783,24.884,4.9162,4.2328,24.7343,2.0827,5.1357,24.1582,0.9757,5.8332,23.7357,0.8306,-4.3404,24.1907,6.3943,-2.8189,25.094,4.0524,-1.6936,25.0679,1.791,-0.0306,24.4294,-0.9218,1.0785,24.1533,-2.0133,1.7783,23.7209,-3.1011,2.9186,23.4299,-4.5058,3.8156,23.0224,-5.0359,NaN,NaN,NaN
3.5408,25.0081,7.7013,4.0974,25.0314,6.0761,5.1931,24.6013,4.5826,2.4099,25.2452,6.5764,3.3507,25.2076,6.1302,2.9761,25.2405,7.2409,0.449,25.2199,7.5521,-1.8636,24.8106,7.5539,-3.2119,24.2108,7.2623,-1.9422,24.8744,4.7287,-1.0678,25.0468,5.2498,0.0574,25.1658,5.6115,2.1089,25.1038,4.0022,1.0972,24.9689,3.0427,-0.1921,24.9192,2.378,3.5832,23.9745,0.2705,2.0516,24.0851,-0.5748,3.0002,23.5774,-1.8574,4.717,22.53,-2.7434,5.4264,21.9488,-3.0024,3.0424,24.0021,9.2078,1.011139,24.637266,6.443466,6.166866,24.108239,2.865103,5.896395,22.973601,-0.586815,5.999403,21.835018,-3.126939,4.685662,21.405964,-6.044294,4.7215,23.9911,-0.3991,3.903,23.06,-2.4167,2.3337,22.5622,-4.0461,2.5068,24.395,1.4529,1.004097,24.278214,0.570008,-1.1679,24.1914,-0.1254,-2.1088,23.3328,10.1585,-3.1597,24.2142,9.2081,-6.023974,22.460856,8.066866,2.545204,23.167237,10.353576,0.366054,22.792749,10.384377,1.9407,24.4081,8.0782,3.3858,24.8351,4.9632,4.378,24.4979,2.1548,5.3002,23.8979,1.0843,5.961,23.3134,0.8991,-4.249,24.0928,6.3844,-2.6979,24.8505,4.0205,-1.5515,24.771,1.7687,0.1563,24.0684,-0.9078,1.2904,23.7739,-1.9591,2.0075,23.2731,-3.0266,3.1861,22.5142,-4.2966,4.0413,22.6057,-4.9021,NaN,NaN,NaN
3.6078,24.9956,7.7116,4.1801,24.9434,6.1221,5.295,24.4694,4.6721,2.4822,25.1846,6.5877,3.427,25.1341,6.16,3.0441,25.1954,7.2472,0.5205,25.1942,7.5451,-1.7846,24.7522,7.5436,-3.1315,24.1255,7.2521,-1.8301,24.6686,4.7009,-0.9708,24.8928,5.2247,0.1466,25.0524,5.602,2.2202,24.9269,4.0242,1.218,24.7931,3.0498,-0.0555,24.6586,2.3762,3.7626,23.6877,0.3684,2.2443,23.7287,-0.5018,3.2057,23.1862,-1.7485,4.9402,22.0982,-2.5579,5.645,21.9613,-2.871,3.0849,24.0937,9.25,1.059694,24.701414,6.534815,6.323906,23.842355,3.022804,6.010853,22.566993,-0.362049,6.224445,21.310996,-2.804223,4.83925,20.900882,-5.930545,4.8962,23.6356,-0.2324,4.1302,22.7142,-2.2486,2.5859,22.106,-3.9121,2.6596,24.1331,1.5035,1.177197,23.977162,0.617391,-0.9936,23.8401,-0.1131,-2.0438,23.3492,10.1539,-3.1007,24.2193,9.2075,-5.873012,22.307862,8.06141,2.607428,23.199253,10.358081,0.428659,22.808221,10.38175,2.0149,24.4009,8.0956,3.4612,24.7592,5.0332,4.522,24.2816,2.2382,5.4606,23.6447,1.2097,6.1664,23.2017,1.1119,-4.1291,23.9313,6.372,-2.5779,24.5789,3.9867,-1.409,24.4704,1.7479,0.3507,23.7091,-0.8707,1.5028,23.3771,-1.8928,2.2408,22.8457,-2.9145,3.4304,22.0205,-4.1402,4.3061,21.6736,-4.6277,4.9079,21.2554,-5.2328
3.6733,24.9852,7.743,4.2598,24.8819,6.1768,5.3963,24.3596,4.777,2.5597,25.1356,6.6022,3.5089,25.0597,6.1936,3.1147,25.1642,7.2645,0.5863,25.1684,7.5358,-1.7031,24.6878,7.5361,-3.0584,24.0625,7.2457,-1.7221,24.4763,4.6799,-0.8707,24.7391,5.2111,0.2359,24.9496,5.5945,2.3273,24.7803,4.0533,1.3501,24.5997,3.0721,0.0837,24.4128,2.3878,3.9337,23.3891,0.486,2.4295,23.3921,-0.4132,3.4122,22.8279,-1.6202,5.1644,21.6918,-2.346,5.8671,21.5711,-2.6355,3.1457,24.0462,9.2687,1.118049,24.646286,6.519996,6.441468,23.811515,3.158251,6.204526,22.31071,-0.206148,6.456841,20.688567,-2.480879,5.013767,20.700165,-5.631913,5.0702,23.2808,-0.0663,4.3278,22.2576,-2.0669,2.8379,21.6621,-3.7291,2.7895,24.0338,1.5635,1.333871,23.6926,0.682853,-0.8168,23.4993,-0.0816,-1.9822,23.3369,10.1534,-3.0511,24.2134,9.2072,-5.761266,22.399908,8.071336,2.666198,23.219023,10.362106,0.489407,22.827012,10.387996,2.0891,24.4071,8.1139,3.555,24.5698,5.0514,4.6622,24.0844,2.3381,5.592,23.2663,1.3025,6.294,22.7751,1.2141,-3.9943,23.7221,6.3552,-2.44,24.3286,3.9589,-1.265,24.1934,1.7403,0.5497,23.347,-0.8079,1.7132,22.9852,-1.8026,2.4666,22.4124,-2.7846,3.6721,21.5356,-3.948,4.5502,21.174,-4.4075,5.1702,20.6974,-4.9604
