shdL_X,shdL_Y,shdL_Z,shdR_X,shdR_Y,shdR_Z,wstL_X,wstL_Y,wstL_Z,wstR_X,wstR_Y,wstR_Z,elbL_X,elbL_Y,elbL_Z,elbR_X,elbR_Y,elbR_Z,t3L_X,t3L_Y,t3L_Z,t3R_X,t3R_Y,t3R_Z,t4L_X,t4L_Y,t4L_Z,t4R_X,t4R_Y,t4R_Z,t5L_X,t5L_Y,t5L_Z,t5R_X,t5R_Y,t5R_Z,mcp3L_X,mcp3L_Y,mcp3L_Z,mcp3R_X,mcp3R_Y,mcp3R_Z,mcp4L_X,mcp4L_Y,mcp4L_Z,mcp4R_X,mcp4R_Y,mcp4R_Z,mcp5L_X,mcp5L_Y,mcp5L_Z,mcp5R_X,mcp5R_Y,mcp5R_Z,ankL_X,ankL_Y,ankL_Z,ankR_X,ankR_Y,ankR_Z,lmb_X,lmb_Y,lmb_Z,str_X,str_Y,str_Z
2.5,0,-0.05,2.5,0,0.05,2.5,0,-50.05,2.5,0,50.05,1.25,0,-25.05,1.25,0,25.05,2.5,0,-100.05,2.5,0,100.05,-2.5,0,-100.05,-2.5,0,100.05,-2.5,0,-50.05,-2.5,0,50.05,2.5,0,-75.05,2.5,0,75.05,0,0,-75.05,0,0,75.05,0,0,-50.05,0,0,50.05,-2.5,0,-0.05,-2.5,0,0.05,-1.25,0,0,1.25,0,0
2.5,0,-0.05,2.5,0,0.05,2.5,-1.962173398,-50.01148392,2.5,-1.962173398,50.01148392,1.25,-0.981086699,-25.03074196,1.25,-0.981086699,25.03074196,2.5,-3.924346795,-99.97296784,2.5,-3.924346795,99.97296784,-2.5,-3.924346795,-99.97296784,-2.5,-3.924346795,99.97296784,-2.5,-1.962173398,-50.01148392,-2.5,-1.962173398,50.01148392,2.5,-2.943260096,-74.99222588,2.5,-2.943260096,74.99222588,0,-2.943260096,-74.99222588,0,-2.943260096,74.99222588,0,-1.962173398,-50.01148392,0,-1.962173398,50.01148392,-2.5,0,-0.05,-2.5,0,0.05,-1.25,0,0,1.25,0,0
2.5,0,-0.05,2.5,0,0.05,2.5,-3.916433206,-49.89637952,2.5,-3.916433206,49.89637952,1.25,-1.958216603,-24.97318976,1.25,-1.958216603,24.97318976,2.5,-7.832866412,-99.74275903,2.5,-7.832866412,99.74275903,-2.5,-7.832866412,-99.74275903,-2.5,-7.832866412,99.74275903,-2.5,-3.916433206,-49.89637952,-2.5,-3.916433206,49.89637952,2.5,-5.874649809,-74.81956928,2.5,-5.874649809,74.81956928,0,-5.874649809,-74.81956928,0,-5.874649809,74.81956928,0,-3.916433206,-49.89637952,0,-3.916433206,49.89637952,-2.5,0,-0.05,-2.5,0,0.05,-1.25,0,0,1.25,0,0
2.5,0,-0.05,2.5,0,0.05,2.5,-5.854957756,-49.70601142,2.5,-5.854957756,49.70601142,1.25,-2.927478878,-24.87800571,1.25,-2.927478878,24.87800571,2.5,-11.70991551,-99.36202283,2.5,-11.70991551,99.36202283,-2.5,-11.70991551,-99.36202283,-2.5,-11.70991551,99.36202283,-2.5,-5.854957756,-49.70601142,-2.5,-5.854957756,49.70601142,2.5,-8.782436634,-74.53401712,2.5,-8.782436634,74.53401712,0,-8.782436634,-74.53401712,0,-8.782436634,74.53401712,0,-5.854957756,-49.70601142,0,-5.854957756,49.70601142,-2.5,0,-0.05,-2.5,0,0.05,-1.25,0,0,1.25,0,0
2.5,0,-0.05,2.5,0,0.05,2.5,-7.770107081,-49.44256458,2.5,-7.770107081,49.44256458,1.25,-3.885053541,-24.74628229,1.25,-3.885053541,24.74628229,2.5,-15.54021416,-98.83512916,2.5,-15.54021416,98.83512916,-2.5,-15.54021416,-98.83512916,-2.5,-15.54021416,98.83512916,-2.5,-7.770107081,-49.44256458,-2.5,-7.770107081,49.44256458,2.5,-11.65516062,-74.13884687,2.5,-11.65516062,74.13884687,0,-11.65516062,-74.13884687,0,-11.65516062,74.13884687,0,-7.770107081,-49.44256458,0,-7.770107081,49.44256458,-2.5,0,-0.05,-2.5,0,0.05,-1.25,0,0,1.25,0,0
2.5,0,-0.05,2.5,0,0.05,2.5,-9.654508482,-49.10905081,2.5,-9.654508482,49.10905081,1.25,-4.827254241,-24.5795254,1.25,-4.827254241,24.5795254,2.5,-19.30901696,-98.16810161,2.5,-19.30901696,98.16810161,-2.5,-19.30901696,-98.16810161,-2.5,-19.30901696,98.16810161,-2.5,-9.654508482,-49.10905081,-2.5,-9.654508482,49.10905081,2.5,-14.48176272,-73.63857621,2.5,-14.48176272,73.63857621,0,-14.48176272,-73.63857621,0,-14.48176272,73.63857621,0,-9.654508482,-49.10905081,0,-9.654508482,49.10905081,-2.5,0,-0.05,-2.5,0,0.05,-1.25,0,0,1.25,0,0
2.5,0,-0.05,2.5,0,0.05,2.5,-11.50113594,-48.70926296,2.5,-11.50113594,48.70926296,1.25,-5.750567969,-24.37963148,1.25,-5.750567969,24.37963148,2.5,-23.00227188,-97.36852593,2.5,-23.00227188,97.36852593,-2.5,-23.00227188,-97.36852593,-2.5,-23.00227188,97.36852593,-2.5,-11.50113594,-48.70926296,-2.5,-11.50113594,48.70926296,2.5,-17.25170391,-73.03889444,2.5,-17.25170391,73.03889444,0,-17.25170391,-73.03889444,0,-17.25170391,73.03889444,0,-11.50113594,-48.70926296,0,-11.50113594,48.70926296,-2.5,0,-0.05,-2.5,0,0.05,-1.25,0,0,1.25,0,0
2.5,0,-0.05,2.5,0,0.05,2.5,-13.30338162,-48.24771818,2.5,-13.30338162,48.24771818,1.25,-6.65169081,-24.14885909,1.25,-6.65169081,24.14885909,2.5,-26.60676324,-96.44543635,2.5,-26.60676324,96.44543635,-2.5,-26.60676324,-96.44543635,-2.5,-26.60676324,96.44543635,-2.5,-13.30338162,-48.24771818,-2.5,-13.30338162,48.24771818,2.5,-19.95507243,-72.34657727,2.5,-19.95507243,72.34657727,0,-19.95507243,-72.34657727,0,-19.95507243,72.34657727,0,-13.30338162,-48.24771818,0,-13.30338162,48.24771818,-2.5,0,-0.05,-2.5,0,0.05,-1.25,0,0,1.25,0,0
2.5,0,-0.05,2.5,0,0.05,2.5,-15.05511796,-47.72959126,2.5,-15.05511796,47.72959126,1.25,-7.527558982,-23.88979563,1.25,-7.527558982,23.88979563,2.5,-30.11023593,-95.40918253,2.5,-30.11023593,95.40918253,-2.5,-30.11023593,-95.40918253,-2.5,-30.11023593,95.40918253,-2.5,-15.05511796,-47.72959126,-2.5,-15.05511796,47.72959126,2.5,-22.58267695,-71.5693869,2.5,-22.58267695,71.5693869,0,-22.58267695,-71.5693869,0,-22.58267695,71.5693869,0,-15.05511796,-47.72959126,0,-15.05511796,47.72959126,-2.5,0,-0.05,-2.5,0,0.05,-1.25,0,0,1.25,0,0
2.5,0,-0.05,2.5,0,0.05,2.5,-16.75074913,-47.16064002,2.5,-16.75074913,47.16064002,1.25,-8.375374567,-23.60532001,1.25,-8.375374567,23.60532001,2.5,-33.50149827,-94.27128005,2.5,-33.50149827,94.27128005,-2.5,-33.50149827,-94.27128005,-2.5,-33.50149827,94.27128005,-2.5,-16.75074913,-47.16064002,-2.5,-16.75074913,47.16064002,2.5,-25.1261237,-70.71596004,2.5,-25.1261237,70.71596004,0,-25.1261237,-70.71596004,0,-25.1261237,70.71596004,0,-16.75074913,-47.16064002,0,-16.75074913,47.16064002,-2.5,0,-0.05,-2.5,0,0.05,-1.25,0,0,1.25,0,0
2.5,0,-0.05,2.5,0,0.05,2.5,-18.38525089,-46.5471241,2.5,-18.38525089,46.5471241,1.25,-9.192625445,-23.29856205,1.25,-9.192625445,23.29856205,2.5,-36.77050178,-93.0442482,2.5,-36.77050178,93.0442482,-2.5,-36.77050178,-93.0442482,-2.5,-36.77050178,93.0442482,-2.5,-18.38525089,-46.5471241,-2.5,-18.38525089,46.5471241,2.5,-27.57787634,-69.79568615,2.5,-27.57787634,69.79568615,0,-27.57787634,-69.79568615,0,-27.57787634,69.79568615,0,-18.38525089,-46.5471241,0,-18.38525089,46.5471241,-2.5,0,-0.05,-2.5,0,0.05,-1.25,0,0,1.25,0,0
